frequency,V(onoise),V(rs)
2.630267991895378e+000,2.010462e-006,1.968545e-006
2.691534803926912e+000,2.010390e-006,1.968545e-006
2.754228703338163e+000,2.010319e-006,1.968545e-006
2.818382931264450e+000,2.010249e-006,1.968545e-006
2.884031503126602e+000,2.010182e-006,1.968545e-006
2.951209226666381e+000,2.010115e-006,1.968545e-006
3.019951720402012e+000,2.010051e-006,1.968545e-006
3.090295432513586e+000,2.009987e-006,1.968545e-006
3.162277660168374e+000,2.009926e-006,1.968545e-006
3.235936569296277e+000,2.009865e-006,1.968544e-006
3.311311214825905e+000,2.009806e-006,1.968544e-006
3.388441561392020e+000,2.009748e-006,1.968544e-006
3.467368504525310e+000,2.009692e-006,1.968544e-006
3.548133892335748e+000,2.009637e-006,1.968544e-006
3.630780547701007e+000,2.009583e-006,1.968544e-006
3.715352290971719e+000,2.009530e-006,1.968544e-006
3.801893963205605e+000,2.009479e-006,1.968544e-006
3.890451449942799e+000,2.009429e-006,1.968544e-006
3.981071705534965e+000,2.009380e-006,1.968544e-006
4.073802778041119e+000,2.009331e-006,1.968544e-006
4.168693834703346e+000,2.009285e-006,1.968544e-006
4.265795188015918e+000,2.009239e-006,1.968544e-006
4.365158322401651e+000,2.009194e-006,1.968544e-006
4.466835921509622e+000,2.009150e-006,1.968544e-006
4.570881896148741e+000,2.009107e-006,1.968544e-006
4.677351412871972e+000,2.009065e-006,1.968544e-006
4.786300923226373e+000,2.009024e-006,1.968544e-006
4.897788193684452e+000,2.008984e-006,1.968543e-006
5.011872336272712e+000,2.008945e-006,1.968543e-006
5.128613839913638e+000,2.008907e-006,1.968543e-006
5.248074602497715e+000,2.008870e-006,1.968543e-006
5.370317963702516e+000,2.008833e-006,1.968543e-006
5.495408738576233e+000,2.008798e-006,1.968543e-006
5.623413251903478e+000,2.008763e-006,1.968543e-006
5.754399373371556e+000,2.008728e-006,1.968543e-006
5.888436553555876e+000,2.008695e-006,1.968542e-006
6.025595860743564e+000,2.008663e-006,1.968542e-006
6.165950018614807e+000,2.008631e-006,1.968542e-006
6.309573444801917e+000,2.008600e-006,1.968542e-006
6.456542290346540e+000,2.008569e-006,1.968542e-006
6.606934480075944e+000,2.008539e-006,1.968541e-006
6.760829753919802e+000,2.008510e-006,1.968541e-006
6.918309709189348e+000,2.008482e-006,1.968541e-006
7.079457843841362e+000,2.008454e-006,1.968541e-006
7.244359600749883e+000,2.008427e-006,1.968541e-006
7.413102413009157e+000,2.008400e-006,1.968541e-006
7.585775750291819e+000,2.008374e-006,1.968540e-006
7.762471166286898e+000,2.008349e-006,1.968540e-006
7.943282347242795e+000,2.008324e-006,1.968540e-006
8.128305161640972e+000,2.008300e-006,1.968540e-006
8.317637711026690e+000,2.008276e-006,1.968539e-006
8.511380382023743e+000,2.008253e-006,1.968539e-006
8.709635899560784e+000,2.008230e-006,1.968539e-006
8.912509381337431e+000,2.008208e-006,1.968539e-006
9.120108393559072e+000,2.008186e-006,1.968538e-006
9.332543007969884e+000,2.008165e-006,1.968538e-006
9.549925860214332e+000,2.008144e-006,1.968537e-006
9.772372209558078e+000,2.008123e-006,1.968537e-006
9.999999999999970e+000,2.008103e-006,1.968537e-006
1.023292992280751e+001,2.008084e-006,1.968536e-006
1.047128548050896e+001,2.008065e-006,1.968536e-006
1.071519305237603e+001,2.008046e-006,1.968535e-006
1.096478196143182e+001,2.008028e-006,1.968535e-006
1.122018454301960e+001,2.008010e-006,1.968534e-006
1.148153621496879e+001,2.007992e-006,1.968534e-006
1.174897554939526e+001,2.007975e-006,1.968533e-006
1.202264434617409e+001,2.007958e-006,1.968533e-006
1.230268770812378e+001,2.007941e-006,1.968532e-006
1.258925411794163e+001,2.007925e-006,1.968531e-006
1.288249551693130e+001,2.007910e-006,1.968531e-006
1.318256738556403e+001,2.007894e-006,1.968530e-006
1.348962882591649e+001,2.007879e-006,1.968529e-006
1.380384264602880e+001,2.007864e-006,1.968529e-006
1.412537544622749e+001,2.007849e-006,1.968528e-006
1.445439770745922e+001,2.007835e-006,1.968527e-006
1.479108388168202e+001,2.007821e-006,1.968526e-006
1.513561248436203e+001,2.007807e-006,1.968525e-006
1.548816618912476e+001,2.007793e-006,1.968524e-006
1.584893192461108e+001,2.007780e-006,1.968523e-006
1.621810097358924e+001,2.007767e-006,1.968522e-006
1.659586907437554e+001,2.007754e-006,1.968521e-006
1.698243652461738e+001,2.007741e-006,1.968520e-006
1.737800828749369e+001,2.007729e-006,1.968519e-006
1.778279410038916e+001,2.007716e-006,1.968517e-006
1.819700858609976e+001,2.007704e-006,1.968516e-006
1.862087136662860e+001,2.007693e-006,1.968515e-006
1.905460717963240e+001,2.007681e-006,1.968513e-006
1.949844599758038e+001,2.007669e-006,1.968512e-006
1.995262314968872e+001,2.007658e-006,1.968510e-006
2.041737944669522e+001,2.007646e-006,1.968509e-006
2.089296130854032e+001,2.007635e-006,1.968507e-006
2.137962089502224e+001,2.007624e-006,1.968505e-006
2.187761623949544e+001,2.007613e-006,1.968503e-006
2.238721138568331e+001,2.007603e-006,1.968501e-006
2.290867652767764e+001,2.007592e-006,1.968499e-006
2.344228815319913e+001,2.007581e-006,1.968497e-006
2.398832919019481e+001,2.007571e-006,1.968495e-006
2.454708915685020e+001,2.007560e-006,1.968492e-006
2.511886431509570e+001,2.007550e-006,1.968490e-006
2.570395782768853e+001,2.007540e-006,1.968487e-006
2.630267991895371e+001,2.007530e-006,1.968484e-006
2.691534803926904e+001,2.007519e-006,1.968481e-006
2.754228703338155e+001,2.007509e-006,1.968478e-006
2.818382931264442e+001,2.007499e-006,1.968475e-006
2.884031503126593e+001,2.007489e-006,1.968472e-006
2.951209226666373e+001,2.007479e-006,1.968468e-006
3.019951720402003e+001,2.007469e-006,1.968465e-006
3.090295432513577e+001,2.007458e-006,1.968461e-006
3.162277660168365e+001,2.007448e-006,1.968457e-006
3.235936569296268e+001,2.007438e-006,1.968453e-006
3.311311214825896e+001,2.007427e-006,1.968448e-006
3.388441561392011e+001,2.007417e-006,1.968444e-006
3.467368504525301e+001,2.007406e-006,1.968439e-006
3.548133892335738e+001,2.007396e-006,1.968434e-006
3.630780547700997e+001,2.007385e-006,1.968429e-006
3.715352290971708e+001,2.007374e-006,1.968423e-006
3.801893963205595e+001,2.007363e-006,1.968418e-006
3.890451449942788e+001,2.007352e-006,1.968412e-006
3.981071705534954e+001,2.007341e-006,1.968405e-006
4.073802778041109e+001,2.007329e-006,1.968399e-006
4.168693834703335e+001,2.007318e-006,1.968392e-006
4.265795188015907e+001,2.007306e-006,1.968385e-006
4.365158322401639e+001,2.007293e-006,1.968377e-006
4.466835921509610e+001,2.007281e-006,1.968369e-006
4.570881896148729e+001,2.007268e-006,1.968361e-006
4.677351412871960e+001,2.007255e-006,1.968352e-006
4.786300923226361e+001,2.007242e-006,1.968343e-006
4.897788193684438e+001,2.007228e-006,1.968333e-006
5.011872336272698e+001,2.007214e-006,1.968323e-006
5.128613839913624e+001,2.007199e-006,1.968313e-006
5.248074602497700e+001,2.007184e-006,1.968302e-006
5.370317963702501e+001,2.007169e-006,1.968290e-006
5.495408738576219e+001,2.007153e-006,1.968278e-006
5.623413251903463e+001,2.007137e-006,1.968266e-006
5.754399373371541e+001,2.007120e-006,1.968253e-006
5.888436553555861e+001,2.007103e-006,1.968239e-006
6.025595860743547e+001,2.007085e-006,1.968224e-006
6.165950018614791e+001,2.007066e-006,1.968209e-006
6.309573444801901e+001,2.007047e-006,1.968193e-006
6.456542290346522e+001,2.007027e-006,1.968177e-006
6.606934480075925e+001,2.007006e-006,1.968159e-006
6.760829753919782e+001,2.006985e-006,1.968141e-006
6.918309709189329e+001,2.006963e-006,1.968122e-006
7.079457843841342e+001,2.006939e-006,1.968102e-006
7.244359600749863e+001,2.006916e-006,1.968082e-006
7.413102413009136e+001,2.006891e-006,1.968060e-006
7.585775750291798e+001,2.006865e-006,1.968037e-006
7.762471166286876e+001,2.006838e-006,1.968013e-006
7.943282347242773e+001,2.006810e-006,1.967988e-006
8.128305161640949e+001,2.006781e-006,1.967961e-006
8.317637711026666e+001,2.006750e-006,1.967934e-006
8.511380382023719e+001,2.006718e-006,1.967905e-006
8.709635899560760e+001,2.006685e-006,1.967875e-006
8.912509381337408e+001,2.006651e-006,1.967843e-006
9.120108393559049e+001,2.006615e-006,1.967810e-006
9.332543007969861e+001,2.006578e-006,1.967775e-006
9.549925860214309e+001,2.006539e-006,1.967739e-006
9.772372209558054e+001,2.006498e-006,1.967701e-006
9.999999999999946e+001,2.006455e-006,1.967662e-006
1.023292992280749e+002,2.006411e-006,1.967620e-006
1.047128548050894e+002,2.006365e-006,1.967576e-006
1.071519305237600e+002,2.006316e-006,1.967531e-006
1.096478196143179e+002,2.006266e-006,1.967483e-006
1.122018454301957e+002,2.006213e-006,1.967433e-006
1.148153621496876e+002,2.006158e-006,1.967381e-006
1.174897554939523e+002,2.006100e-006,1.967326e-006
1.202264434617406e+002,2.006040e-006,1.967268e-006
1.230268770812374e+002,2.005977e-006,1.967208e-006
1.258925411794160e+002,2.005911e-006,1.967145e-006
1.288249551693126e+002,2.005843e-006,1.967079e-006
1.318256738556399e+002,2.005771e-006,1.967010e-006
1.348962882591646e+002,2.005696e-006,1.966938e-006
1.380384264602876e+002,2.005617e-006,1.966862e-006
1.412537544622746e+002,2.005535e-006,1.966783e-006
1.445439770745919e+002,2.005449e-006,1.966700e-006
1.479108388168199e+002,2.005359e-006,1.966613e-006
1.513561248436199e+002,2.005265e-006,1.966522e-006
1.548816618912472e+002,2.005167e-006,1.966427e-006
1.584893192461104e+002,2.005064e-006,1.966328e-006
1.621810097358920e+002,2.004957e-006,1.966223e-006
1.659586907437551e+002,2.004844e-006,1.966114e-006
1.698243652461734e+002,2.004726e-006,1.965999e-006
1.737800828749365e+002,2.004603e-006,1.965880e-006
1.778279410038912e+002,2.004474e-006,1.965754e-006
1.819700858609972e+002,2.004339e-006,1.965623e-006
1.862087136662856e+002,2.004198e-006,1.965486e-006
1.905460717963235e+002,2.004050e-006,1.965342e-006
1.949844599758033e+002,2.003896e-006,1.965191e-006
1.995262314968867e+002,2.003734e-006,1.965034e-006
2.041737944669516e+002,2.003565e-006,1.964869e-006
2.089296130854026e+002,2.003388e-006,1.964696e-006
2.137962089502218e+002,2.003202e-006,1.964515e-006
2.187761623949538e+002,2.003008e-006,1.964326e-006
2.238721138568325e+002,2.002805e-006,1.964127e-006
2.290867652767758e+002,2.002593e-006,1.963920e-006
2.344228815319906e+002,2.002371e-006,1.963703e-006
2.398832919019474e+002,2.002138e-006,1.963475e-006
2.454708915685014e+002,2.001894e-006,1.963238e-006
2.511886431509563e+002,2.001640e-006,1.962988e-006
2.570395782768846e+002,2.001373e-006,1.962728e-006
2.630267991895364e+002,2.001094e-006,1.962455e-006
2.691534803926897e+002,2.000802e-006,1.962169e-006
2.754228703338148e+002,2.000496e-006,1.961870e-006
2.818382931264435e+002,2.000177e-006,1.961557e-006
2.884031503126586e+002,1.999842e-006,1.961230e-006
2.951209226666366e+002,1.999492e-006,1.960887e-006
3.019951720401995e+002,1.999125e-006,1.960528e-006
3.090295432513569e+002,1.998742e-006,1.960153e-006
3.162277660168357e+002,1.998341e-006,1.959760e-006
3.235936569296260e+002,1.997921e-006,1.959349e-006
3.311311214825888e+002,1.997482e-006,1.958918e-006
3.388441561392002e+002,1.997022e-006,1.958468e-006
3.467368504525292e+002,1.996541e-006,1.957997e-006
3.548133892335729e+002,1.996038e-006,1.957504e-006
3.630780547700987e+002,1.995511e-006,1.956988e-006
3.715352290971698e+002,1.994960e-006,1.956449e-006
3.801893963205584e+002,1.994384e-006,1.955884e-006
3.890451449942777e+002,1.993781e-006,1.955293e-006
3.981071705534943e+002,1.993151e-006,1.954675e-006
4.073802778041097e+002,1.992491e-006,1.954029e-006
4.168693834703323e+002,1.991801e-006,1.953352e-006
4.265795188015895e+002,1.991079e-006,1.952645e-006
4.365158322401627e+002,1.990324e-006,1.951905e-006
4.466835921509598e+002,1.989535e-006,1.951131e-006
4.570881896148716e+002,1.988709e-006,1.950322e-006
4.677351412871947e+002,1.987846e-006,1.949476e-006
4.786300923226348e+002,1.986943e-006,1.948591e-006
4.897788193684425e+002,1.985999e-006,1.947665e-006
5.011872336272685e+002,1.985012e-006,1.946697e-006
5.128613839913610e+002,1.983979e-006,1.945685e-006
5.248074602497686e+002,1.982900e-006,1.944628e-006
5.370317963702487e+002,1.981772e-006,1.943522e-006
5.495408738576203e+002,1.980593e-006,1.942366e-006
5.623413251903447e+002,1.979361e-006,1.941158e-006
5.754399373371524e+002,1.978073e-006,1.939895e-006
5.888436553555844e+002,1.976727e-006,1.938575e-006
6.025595860743530e+002,1.975321e-006,1.937197e-006
6.165950018614773e+002,1.973852e-006,1.935756e-006
6.309573444801882e+002,1.972317e-006,1.934251e-006
6.456542290346504e+002,1.970713e-006,1.932679e-006
6.606934480075908e+002,1.969038e-006,1.931036e-006
6.760829753919763e+002,1.967289e-006,1.929321e-006
6.918309709189309e+002,1.965462e-006,1.927530e-006
7.079457843841321e+002,1.963555e-006,1.925659e-006
7.244359600749841e+002,1.961563e-006,1.923707e-006
7.413102413009113e+002,1.959485e-006,1.921668e-006
7.585775750291774e+002,1.957315e-006,1.919541e-006
7.762471166286852e+002,1.955051e-006,1.917321e-006
7.943282347242747e+002,1.952689e-006,1.915004e-006
8.128305161640923e+002,1.950224e-006,1.912588e-006
8.317637711026639e+002,1.947654e-006,1.910067e-006
8.511380382023692e+002,1.944973e-006,1.907438e-006
8.709635899560732e+002,1.942177e-006,1.904697e-006
8.912509381337379e+002,1.939263e-006,1.901839e-006
9.120108393559019e+002,1.936225e-006,1.898860e-006
9.332543007969830e+002,1.933060e-006,1.895756e-006
9.549925860214277e+002,1.929762e-006,1.892521e-006
9.772372209558022e+002,1.926326e-006,1.889152e-006
9.999999999999913e+002,1.922748e-006,1.885644e-006
1.023292992280745e+003,1.919023e-006,1.881991e-006
1.047128548050890e+003,1.915146e-006,1.878188e-006
1.071519305237597e+003,1.911111e-006,1.874231e-006
1.096478196143175e+003,1.906913e-006,1.870114e-006
1.122018454301953e+003,1.902546e-006,1.865832e-006
1.148153621496872e+003,1.898006e-006,1.861380e-006
1.174897554939519e+003,1.893286e-006,1.856751e-006
1.202264434617402e+003,1.888382e-006,1.851942e-006
1.230268770812370e+003,1.883287e-006,1.846945e-006
1.258925411794156e+003,1.877996e-006,1.841756e-006
1.288249551693122e+003,1.872503e-006,1.836370e-006
1.318256738556395e+003,1.866803e-006,1.830779e-006
1.348962882591641e+003,1.860889e-006,1.824980e-006
1.380384264602872e+003,1.854757e-006,1.818966e-006
1.412537544622741e+003,1.848400e-006,1.812732e-006
1.445439770745914e+003,1.841813e-006,1.806272e-006
1.479108388168193e+003,1.834990e-006,1.799581e-006
1.513561248436194e+003,1.827927e-006,1.792655e-006
1.548816618912467e+003,1.820618e-006,1.785486e-006
1.584893192461099e+003,1.813057e-006,1.778071e-006
1.621810097358915e+003,1.805240e-006,1.770405e-006
1.659586907437545e+003,1.797162e-006,1.762483e-006
1.698243652461728e+003,1.788818e-006,1.754301e-006
1.737800828749359e+003,1.780205e-006,1.745854e-006
1.778279410038906e+003,1.771318e-006,1.737138e-006
1.819700858609966e+003,1.762153e-006,1.728150e-006
1.862087136662849e+003,1.752707e-006,1.718887e-006
1.905460717963229e+003,1.742977e-006,1.709344e-006
1.949844599758026e+003,1.732960e-006,1.699521e-006
1.995262314968860e+003,1.722654e-006,1.689413e-006
2.041737944669509e+003,1.712057e-006,1.679021e-006
2.089296130854019e+003,1.701167e-006,1.668341e-006
2.137962089502211e+003,1.689984e-006,1.657374e-006
2.187761623949531e+003,1.678507e-006,1.646119e-006
2.238721138568317e+003,1.666736e-006,1.634575e-006
2.290867652767750e+003,1.654673e-006,1.622744e-006
2.344228815319898e+003,1.642317e-006,1.610627e-006
2.398832919019466e+003,1.629671e-006,1.598225e-006
2.454708915685005e+003,1.616737e-006,1.585541e-006
2.511886431509554e+003,1.603519e-006,1.572578e-006
2.570395782768837e+003,1.590019e-006,1.559338e-006
2.630267991895355e+003,1.576242e-006,1.545827e-006
2.691534803926887e+003,1.562193e-006,1.532049e-006
2.754228703338138e+003,1.547877e-006,1.518010e-006
2.818382931264424e+003,1.533301e-006,1.503714e-006
2.884031503126575e+003,1.518470e-006,1.489170e-006
2.951209226666354e+003,1.503393e-006,1.474383e-006
3.019951720401984e+003,1.488076e-006,1.459362e-006
3.090295432513557e+003,1.472529e-006,1.444115e-006
3.162277660168345e+003,1.456761e-006,1.428651e-006
3.235936569296248e+003,1.440781e-006,1.412979e-006
3.311311214825875e+003,1.424598e-006,1.397109e-006
3.388441561391989e+003,1.408224e-006,1.381051e-006
3.467368504525279e+003,1.391670e-006,1.364816e-006
3.548133892335716e+003,1.374946e-006,1.348415e-006
3.630780547700973e+003,1.358064e-006,1.331859e-006
3.715352290971684e+003,1.341037e-006,1.315160e-006
3.801893963205570e+003,1.323876e-006,1.298330e-006
3.890451449942763e+003,1.306594e-006,1.281382e-006
3.981071705534928e+003,1.289204e-006,1.264327e-006
4.073802778041082e+003,1.271719e-006,1.247179e-006
4.168693834703307e+003,1.254151e-006,1.229951e-006
4.265795188015879e+003,1.236514e-006,1.212654e-006
4.365158322401610e+003,1.218821e-006,1.195302e-006
4.466835921509581e+003,1.201084e-006,1.177907e-006
4.570881896148699e+003,1.183317e-006,1.160483e-006
4.677351412871929e+003,1.165533e-006,1.143042e-006
4.786300923226329e+003,1.147744e-006,1.125596e-006
4.897788193684407e+003,1.129963e-006,1.108158e-006
5.011872336272666e+003,1.112202e-006,1.090739e-006
5.128613839913590e+003,1.094473e-006,1.073352e-006
5.248074602497666e+003,1.076788e-006,1.056009e-006
5.370317963702466e+003,1.059159e-006,1.038720e-006
5.495408738576182e+003,1.041596e-006,1.021496e-006
5.623413251903426e+003,1.024111e-006,1.004348e-006
5.754399373371502e+003,1.006714e-006,9.872867e-007
5.888436553555821e+003,9.894153e-007,9.703214e-007
6.025595860743507e+003,9.722239e-007,9.534616e-007
6.165950018614749e+003,9.551494e-007,9.367164e-007
6.309573444801858e+003,9.382005e-007,9.200944e-007
6.456542290346478e+003,9.213855e-007,9.036038e-007
6.606934480075881e+003,9.047124e-007,8.872522e-007
6.760829753919737e+003,8.881885e-007,8.710470e-007
6.918309709189281e+003,8.718208e-007,8.549950e-007
7.079457843841294e+003,8.556159e-007,8.391027e-007
7.244359600749813e+003,8.395798e-007,8.233758e-007
7.413102413009085e+003,8.237182e-007,8.078201e-007
7.585775750291745e+003,8.080363e-007,7.924406e-007
7.762471166286822e+003,7.925388e-007,7.772420e-007
7.943282347242717e+003,7.772301e-007,7.622285e-007
8.128305161640892e+003,7.621141e-007,7.474040e-007
8.317637711026608e+003,7.471943e-007,7.327720e-007
8.511380382023659e+003,7.324739e-007,7.183355e-007
8.709635899560699e+003,7.179557e-007,7.040972e-007
8.912509381337344e+003,7.036419e-007,6.900594e-007
9.120108393558983e+003,6.895348e-007,6.762243e-007
9.332543007969793e+003,6.756359e-007,6.625934e-007
9.549925860214238e+003,6.619466e-007,6.491682e-007
9.772372209557982e+003,6.484681e-007,6.359495e-007
9.999999999999871e+003,6.352011e-007,6.229383e-007
1.023292992280741e+004,6.221460e-007,6.101349e-007
1.047128548050886e+004,6.093032e-007,5.975397e-007
1.071519305237592e+004,5.966726e-007,5.851526e-007
1.096478196143171e+004,5.842539e-007,5.729734e-007
1.122018454301949e+004,5.720467e-007,5.610015e-007
1.148153621496868e+004,5.600502e-007,5.492362e-007
1.174897554939514e+004,5.482636e-007,5.376768e-007
1.202264434617397e+004,5.366858e-007,5.263221e-007
1.230268770812365e+004,5.253155e-007,5.151710e-007
1.258925411794151e+004,5.141513e-007,5.042220e-007
1.288249551693117e+004,5.031917e-007,4.934736e-007
1.318256738556390e+004,4.924349e-007,4.829242e-007
1.348962882591636e+004,4.818793e-007,4.725719e-007
1.380384264602867e+004,4.715228e-007,4.624150e-007
1.412537544622735e+004,4.613633e-007,4.524513e-007
1.445439770745908e+004,4.513988e-007,4.426788e-007
1.479108388168187e+004,4.416271e-007,4.330953e-007
1.513561248436188e+004,4.320458e-007,4.236987e-007
1.548816618912460e+004,4.226526e-007,4.144864e-007
1.584893192461092e+004,4.134451e-007,4.054563e-007
1.621810097358908e+004,4.044208e-007,3.966058e-007
1.659586907437538e+004,3.955771e-007,3.879324e-007
1.698243652461721e+004,3.869116e-007,3.794337e-007
1.737800828749351e+004,3.784215e-007,3.711072e-007
1.778279410038898e+004,3.701043e-007,3.629501e-007
1.819700858609958e+004,3.619573e-007,3.549600e-007
1.862087136662842e+004,3.539779e-007,3.471342e-007
1.905460717963221e+004,3.461633e-007,3.394701e-007
1.949844599758018e+004,3.385110e-007,3.319651e-007
1.995262314968852e+004,3.310182e-007,3.246165e-007
2.041737944669501e+004,3.236821e-007,3.174216e-007
2.089296130854010e+004,3.165001e-007,3.103778e-007
2.137962089502202e+004,3.094696e-007,3.034826e-007
2.187761623949522e+004,3.025879e-007,2.967332e-007
2.238721138568308e+004,2.958523e-007,2.901271e-007
2.290867652767740e+004,2.892601e-007,2.836617e-007
2.344228815319889e+004,2.828087e-007,2.773344e-007
2.398832919019456e+004,2.764955e-007,2.711427e-007
2.454708915684995e+004,2.703180e-007,2.650839e-007
2.511886431509544e+004,2.642736e-007,2.591556e-007
2.570395782768826e+004,2.583596e-007,2.533554e-007
2.630267991895344e+004,2.525738e-007,2.476806e-007
2.691534803926876e+004,2.469134e-007,2.421290e-007
2.754228703338126e+004,2.413761e-007,2.366981e-007
2.818382931264412e+004,2.359595e-007,2.313854e-007
2.884031503126564e+004,2.306611e-007,2.261888e-007
2.951209226666342e+004,2.254787e-007,2.211058e-007
3.019951720401971e+004,2.204098e-007,2.161342e-007
3.090295432513544e+004,2.154522e-007,2.112717e-007
3.162277660168332e+004,2.106036e-007,2.065161e-007
3.235936569296234e+004,2.058618e-007,2.018652e-007
3.311311214825861e+004,2.012246e-007,1.973169e-007
3.388441561391974e+004,1.966899e-007,1.928691e-007
3.467368504525264e+004,1.922554e-007,1.885196e-007
3.548133892335701e+004,1.879192e-007,1.842664e-007
3.630780547700958e+004,1.836791e-007,1.801074e-007
3.715352290971669e+004,1.795332e-007,1.760409e-007
3.801893963205554e+004,1.754794e-007,1.720647e-007
3.890451449942747e+004,1.715159e-007,1.681769e-007
3.981071705534912e+004,1.676406e-007,1.643757e-007
4.073802778041065e+004,1.638518e-007,1.606593e-007
4.168693834703291e+004,1.601476e-007,1.570258e-007
4.265795188015862e+004,1.565261e-007,1.534734e-007
4.365158322401593e+004,1.529856e-007,1.500004e-007
4.466835921509563e+004,1.495243e-007,1.466052e-007
4.570881896148680e+004,1.461406e-007,1.432859e-007
4.677351412871909e+004,1.428327e-007,1.400410e-007
4.786300923226309e+004,1.395990e-007,1.368689e-007
4.897788193684386e+004,1.364379e-007,1.337679e-007
5.011872336272644e+004,1.333478e-007,1.307366e-007
5.128613839913568e+004,1.303272e-007,1.277733e-007
5.248074602497643e+004,1.273745e-007,1.248767e-007
5.370317963702443e+004,1.244883e-007,1.220452e-007
5.495408738576159e+004,1.216670e-007,1.192774e-007
5.623413251903402e+004,1.189093e-007,1.165720e-007
5.754399373371479e+004,1.162138e-007,1.139275e-007
5.888436553555797e+004,1.135791e-007,1.113426e-007
6.025595860743483e+004,1.110038e-007,1.088159e-007
6.165950018614724e+004,1.084867e-007,1.063463e-007
6.309573444801832e+004,1.060264e-007,1.039324e-007
6.456542290346453e+004,1.036218e-007,1.015730e-007
6.606934480075855e+004,1.012714e-007,9.926683e-008
6.760829753919710e+004,9.897426e-008,9.701279e-008
6.918309709189255e+004,9.672905e-008,9.480969e-008
7.079457843841266e+004,9.453466e-008,9.265639e-008
7.244359600749785e+004,9.238995e-008,9.055179e-008
7.413102413009056e+004,9.029380e-008,8.849479e-008
7.585775750291716e+004,8.824514e-008,8.648433e-008
7.762471166286792e+004,8.624292e-008,8.451939e-008
7.943282347242687e+004,8.428609e-008,8.259892e-008
8.128305161640862e+004,8.237362e-008,8.072193e-008
8.317637711026576e+004,8.050455e-008,7.888746e-008
8.511380382023628e+004,7.867789e-008,7.709455e-008
8.709635899560666e+004,7.689268e-008,7.534226e-008
8.912509381337311e+004,7.514800e-008,7.362969e-008
9.120108393558950e+004,7.344295e-008,7.195594e-008
9.332543007969759e+004,7.177663e-008,7.032013e-008
9.549925860214204e+004,7.014817e-008,6.872142e-008
9.772372209557948e+004,6.855672e-008,6.715897e-008
9.999999999999837e+004,6.700145e-008,6.563197e-008
1.023292992280737e+005,6.548156e-008,6.413961e-008
1.047128548050882e+005,6.399623e-008,6.268110e-008
1.071519305237589e+005,6.254469e-008,6.125570e-008
1.096478196143167e+005,6.112619e-008,5.986266e-008
1.122018454301945e+005,5.973999e-008,5.850124e-008
1.148153621496864e+005,5.838534e-008,5.717072e-008
1.174897554939510e+005,5.706154e-008,5.587041e-008
1.202264434617393e+005,5.576791e-008,5.459964e-008
1.230268770812361e+005,5.450375e-008,5.335772e-008
1.258925411794147e+005,5.326840e-008,5.214401e-008
1.288249551693113e+005,5.206122e-008,5.095787e-008
1.318256738556385e+005,5.088157e-008,4.979868e-008
1.348962882591631e+005,4.972883e-008,4.866582e-008
1.380384264602862e+005,4.860238e-008,4.755870e-008
1.412537544622731e+005,4.750165e-008,4.647675e-008
1.445439770745904e+005,4.642605e-008,4.541937e-008
