frequency,(V(onoise)-4*4.11*1e(U+2212)21*1e6)/(1e6)
1.862087136662860e+001,5.734087e-014
1.905460717963240e+001,5.698207e-014
1.949844599758038e+001,5.662923e-014
1.995262314968872e+001,5.628229e-014
2.041737944669522e+001,5.594117e-014
2.089296130854032e+001,5.560579e-014
2.137962089502224e+001,5.527608e-014
2.187761623949544e+001,5.495197e-014
2.238721138568331e+001,5.463337e-014
2.290867652767764e+001,5.432022e-014
2.344228815319913e+001,5.401245e-014
2.398832919019481e+001,5.370998e-014
2.454708915685020e+001,5.341273e-014
2.511886431509570e+001,5.312065e-014
2.570395782768853e+001,5.283366e-014
2.630267991895371e+001,5.255168e-014
2.691534803926904e+001,5.227465e-014
2.754228703338155e+001,5.200251e-014
2.818382931264442e+001,5.173517e-014
2.884031503126593e+001,5.147258e-014
2.951209226666373e+001,5.121467e-014
3.019951720402003e+001,5.096136e-014
3.090295432513577e+001,5.071260e-014
3.162277660168365e+001,5.046832e-014
3.235936569296268e+001,5.022845e-014
3.311311214825896e+001,4.999293e-014
3.388441561392011e+001,4.976169e-014
3.467368504525301e+001,4.953467e-014
3.548133892335738e+001,4.931181e-014
3.630780547700997e+001,4.909305e-014
3.715352290971708e+001,4.887832e-014
3.801893963205595e+001,4.866756e-014
3.890451449942788e+001,4.846072e-014
3.981071705534954e+001,4.825772e-014
4.073802778041109e+001,4.805852e-014
4.168693834703335e+001,4.786305e-014
4.265795188015907e+001,4.767126e-014
4.365158322401639e+001,4.748308e-014
4.466835921509610e+001,4.729847e-014
4.570881896148729e+001,4.711736e-014
4.677351412871960e+001,4.693969e-014
4.786300923226361e+001,4.676542e-014
4.897788193684438e+001,4.659448e-014
5.011872336272698e+001,4.642683e-014
5.128613839913624e+001,4.626241e-014
5.248074602497700e+001,4.610116e-014
5.370317963702501e+001,4.594304e-014
5.495408738576219e+001,4.578798e-014
5.623413251903463e+001,4.563595e-014
5.754399373371541e+001,4.548689e-014
5.888436553555861e+001,4.534075e-014
6.025595860743547e+001,4.519748e-014
6.165950018614791e+001,4.505703e-014
6.309573444801901e+001,4.491935e-014
6.456542290346522e+001,4.478440e-014
6.606934480075925e+001,4.465213e-014
6.760829753919782e+001,4.452248e-014
6.918309709189329e+001,4.439542e-014
7.079457843841342e+001,4.427091e-014
7.244359600749863e+001,4.414888e-014
7.413102413009136e+001,4.402931e-014
7.585775750291798e+001,4.391215e-014
7.762471166286876e+001,4.379734e-014
7.943282347242773e+001,4.368486e-014
8.128305161640949e+001,4.357467e-014
8.317637711026666e+001,4.346670e-014
8.511380382023719e+001,4.336094e-014
8.709635899560760e+001,4.325733e-014
8.912509381337408e+001,4.315585e-014
9.120108393559049e+001,4.305644e-014
9.332543007969861e+001,4.295907e-014
9.549925860214309e+001,4.286371e-014
9.772372209558054e+001,4.277031e-014
9.999999999999946e+001,4.267883e-014
1.023292992280749e+002,4.258926e-014
1.047128548050894e+002,4.250153e-014
1.071519305237600e+002,4.241563e-014
1.096478196143179e+002,4.233152e-014
1.122018454301957e+002,4.224916e-014
1.148153621496876e+002,4.216852e-014
1.174897554939523e+002,4.208956e-014
1.202264434617406e+002,4.201226e-014
1.230268770812374e+002,4.193658e-014
1.258925411794160e+002,4.186249e-014
1.288249551693126e+002,4.178996e-014
1.318256738556399e+002,4.171896e-014
1.348962882591646e+002,4.164946e-014
1.380384264602876e+002,4.158143e-014
1.412537544622746e+002,4.151484e-014
1.445439770745919e+002,4.144966e-014
1.479108388168199e+002,4.138587e-014
1.513561248436199e+002,4.132343e-014
1.548816618912472e+002,4.126233e-014
1.584893192461104e+002,4.120252e-014
1.621810097358920e+002,4.114400e-014
1.659586907437551e+002,4.108673e-014
1.698243652461734e+002,4.103068e-014
1.737800828749365e+002,4.097583e-014
1.778279410038912e+002,4.092216e-014
1.819700858609972e+002,4.086965e-014
1.862087136662856e+002,4.081826e-014
1.905460717963235e+002,4.076799e-014
1.949844599758033e+002,4.071879e-014
1.995262314968867e+002,4.067066e-014
2.041737944669516e+002,4.062357e-014
2.089296130854026e+002,4.057750e-014
2.137962089502218e+002,4.053243e-014
2.187761623949538e+002,4.048833e-014
2.238721138568325e+002,4.044519e-014
2.290867652767758e+002,4.040299e-014
2.344228815319906e+002,4.036171e-014
2.398832919019474e+002,4.032132e-014
2.454708915685014e+002,4.028182e-014
2.511886431509563e+002,4.024318e-014
2.570395782768846e+002,4.020538e-014
2.630267991895364e+002,4.016841e-014
2.691534803926897e+002,4.013224e-014
2.754228703338148e+002,4.009687e-014
2.818382931264435e+002,4.006228e-014
2.884031503126586e+002,4.002844e-014
2.951209226666366e+002,3.999534e-014
3.019951720401995e+002,3.996297e-014
3.090295432513569e+002,3.993132e-014
3.162277660168357e+002,3.990035e-014
3.235936569296260e+002,3.987007e-014
3.311311214825888e+002,3.984046e-014
3.388441561392002e+002,3.981150e-014
3.467368504525292e+002,3.978318e-014
3.548133892335729e+002,3.975548e-014
3.630780547700987e+002,3.972840e-014
3.715352290971698e+002,3.970191e-014
3.801893963205584e+002,3.967601e-014
3.890451449942777e+002,3.965069e-014
3.981071705534943e+002,3.962592e-014
4.073802778041097e+002,3.960171e-014
4.168693834703323e+002,3.957803e-014
4.265795188015895e+002,3.955487e-014
4.365158322401627e+002,3.953223e-014
4.466835921509598e+002,3.951009e-014
4.570881896148716e+002,3.948845e-014
4.677351412871947e+002,3.946728e-014
4.786300923226348e+002,3.944659e-014
4.897788193684425e+002,3.942636e-014
5.011872336272685e+002,3.940657e-014
5.128613839913610e+002,3.938723e-014
5.248074602497686e+002,3.936832e-014
5.370317963702487e+002,3.934983e-014
5.495408738576203e+002,3.933176e-014
5.623413251903447e+002,3.931408e-014
5.754399373371524e+002,3.929680e-014
5.888436553555844e+002,3.927991e-014
6.025595860743530e+002,3.926339e-014
6.165950018614773e+002,3.924725e-014
6.309573444801882e+002,3.923147e-014
6.456542290346504e+002,3.921603e-014
6.606934480075908e+002,3.920095e-014
6.760829753919763e+002,3.918620e-014
6.918309709189309e+002,3.917178e-014
7.079457843841321e+002,3.915768e-014
7.244359600749841e+002,3.914391e-014
7.413102413009113e+002,3.913043e-014
7.585775750291774e+002,3.911727e-014
7.762471166286852e+002,3.910440e-014
7.943282347242747e+002,3.909181e-014
8.128305161640923e+002,3.907951e-014
8.317637711026639e+002,3.906749e-014
8.511380382023692e+002,3.905573e-014
8.709635899560732e+002,3.904424e-014
8.912509381337379e+002,3.903301e-014
9.120108393559019e+002,3.902203e-014
9.332543007969830e+002,3.901129e-014
9.549925860214277e+002,3.900080e-014
9.772372209558022e+002,3.899055e-014
9.999999999999913e+002,3.898052e-014
1.023292992280745e+003,3.897073e-014
1.047128548050890e+003,3.896115e-014
1.071519305237597e+003,3.895179e-014
1.096478196143175e+003,3.894263e-014
1.122018454301953e+003,3.893369e-014
1.148153621496872e+003,3.892495e-014
1.174897554939519e+003,3.891640e-014
1.202264434617402e+003,3.890804e-014
1.230268770812370e+003,3.889988e-014
1.258925411794156e+003,3.889190e-014
1.288249551693122e+003,3.888410e-014
1.318256738556395e+003,3.887647e-014
1.348962882591641e+003,3.886902e-014
1.380384264602872e+003,3.886174e-014
1.412537544622741e+003,3.885462e-014
1.445439770745914e+003,3.884766e-014
1.479108388168193e+003,3.884085e-014
1.513561248436194e+003,3.883421e-014
1.548816618912467e+003,3.882771e-014
1.584893192461099e+003,3.882136e-014
1.621810097358915e+003,3.881515e-014
1.659586907437545e+003,3.880908e-014
1.698243652461728e+003,3.880315e-014
1.737800828749359e+003,3.879735e-014
1.778279410038906e+003,3.879169e-014
1.819700858609966e+003,3.878615e-014
1.862087136662849e+003,3.878074e-014
1.905460717963229e+003,3.877545e-014
1.949844599758026e+003,3.877028e-014
1.995262314968860e+003,3.876523e-014
2.041737944669509e+003,3.876029e-014
2.089296130854019e+003,3.875547e-014
2.137962089502211e+003,3.875075e-014
2.187761623949531e+003,3.874614e-014
2.238721138568317e+003,3.874163e-014
2.290867652767750e+003,3.873723e-014
2.344228815319898e+003,3.873292e-014
2.398832919019466e+003,3.872872e-014
2.454708915685005e+003,3.872461e-014
2.511886431509554e+003,3.872059e-014
2.570395782768837e+003,3.871666e-014
2.630267991895355e+003,3.871282e-014
2.691534803926887e+003,3.870907e-014
2.754228703338138e+003,3.870541e-014
2.818382931264424e+003,3.870182e-014
2.884031503126575e+003,3.869832e-014
2.951209226666354e+003,3.869490e-014
3.019951720401984e+003,3.869155e-014
3.090295432513557e+003,3.868828e-014
3.162277660168345e+003,3.868509e-014
3.235936569296248e+003,3.868197e-014
3.311311214825875e+003,3.867892e-014
3.388441561391989e+003,3.867594e-014
3.467368504525279e+003,3.867302e-014
3.548133892335716e+003,3.867017e-014
3.630780547700973e+003,3.866739e-014
3.715352290971684e+003,3.866467e-014
3.801893963205570e+003,3.866201e-014
3.890451449942763e+003,3.865941e-014
3.981071705534928e+003,3.865687e-014
4.073802778041082e+003,3.865438e-014
4.168693834703307e+003,3.865196e-014
4.265795188015879e+003,3.864959e-014
4.365158322401610e+003,3.864727e-014
4.466835921509581e+003,3.864501e-014
4.570881896148699e+003,3.864280e-014
4.677351412871929e+003,3.864063e-014
4.786300923226329e+003,3.863852e-014
4.897788193684407e+003,3.863645e-014
5.011872336272666e+003,3.863443e-014
5.128613839913590e+003,3.863246e-014
5.248074602497666e+003,3.863053e-014
5.370317963702466e+003,3.862865e-014
5.495408738576182e+003,3.862680e-014
5.623413251903426e+003,3.862500e-014
5.754399373371502e+003,3.862325e-014
5.888436553555821e+003,3.862152e-014
6.025595860743507e+003,3.861984e-014
6.165950018614749e+003,3.861820e-014
6.309573444801858e+003,3.861659e-014
6.456542290346478e+003,3.861503e-014
6.606934480075881e+003,3.861349e-014
6.760829753919737e+003,3.861199e-014
6.918309709189281e+003,3.861053e-014
7.079457843841294e+003,3.860910e-014
7.244359600749813e+003,3.860770e-014
7.413102413009085e+003,3.860633e-014
7.585775750291745e+003,3.860499e-014
7.762471166286822e+003,3.860369e-014
7.943282347242717e+003,3.860241e-014
8.128305161640892e+003,3.860116e-014
8.317637711026608e+003,3.859995e-014
8.511380382023659e+003,3.859875e-014
8.709635899560699e+003,3.859759e-014
8.912509381337344e+003,3.859645e-014
9.120108393558983e+003,3.859533e-014
9.332543007969793e+003,3.859425e-014
9.549925860214238e+003,3.859319e-014
9.772372209557982e+003,3.859214e-014
9.999999999999871e+003,3.859113e-014
1.023292992280741e+004,3.859013e-014
1.047128548050886e+004,3.858916e-014
1.071519305237592e+004,3.858822e-014
1.096478196143171e+004,3.858729e-014
1.122018454301949e+004,3.858638e-014
1.148153621496868e+004,3.858549e-014
1.174897554939514e+004,3.858463e-014
1.202264434617397e+004,3.858378e-014
1.230268770812365e+004,3.858295e-014
1.258925411794151e+004,3.858214e-014
1.288249551693117e+004,3.858135e-014
1.318256738556390e+004,3.858057e-014
1.348962882591636e+004,3.857982e-014
1.380384264602867e+004,3.857908e-014
1.412537544622735e+004,3.857835e-014
1.445439770745908e+004,3.857765e-014
1.479108388168187e+004,3.857695e-014
1.513561248436188e+004,3.857627e-014
1.548816618912460e+004,3.857561e-014
1.584893192461092e+004,3.857496e-014
1.621810097358908e+004,3.857433e-014
1.659586907437538e+004,3.857371e-014
1.698243652461721e+004,3.857310e-014
1.737800828749351e+004,3.857251e-014
1.778279410038898e+004,3.857193e-014
1.819700858609958e+004,3.857136e-014
1.862087136662842e+004,3.857080e-014
1.905460717963221e+004,3.857026e-014
1.949844599758018e+004,3.856973e-014
1.995262314968852e+004,3.856920e-014
2.041737944669501e+004,3.856870e-014
2.089296130854010e+004,3.856820e-014
2.137962089502202e+004,3.856771e-014
2.187761623949522e+004,3.856723e-014
2.238721138568308e+004,3.856676e-014
2.290867652767740e+004,3.856630e-014
2.344228815319889e+004,3.856584e-014
2.398832919019456e+004,3.856540e-014
2.454708915684995e+004,3.856497e-014
2.511886431509544e+004,3.856454e-014
2.570395782768826e+004,3.856412e-014
2.630267991895344e+004,3.856372e-014
2.691534803926876e+004,3.856331e-014
2.754228703338126e+004,3.856292e-014
2.818382931264412e+004,3.856253e-014
2.884031503126564e+004,3.856215e-014
2.951209226666342e+004,3.856178e-014
3.019951720401971e+004,3.856141e-014
3.090295432513544e+004,3.856105e-014
3.162277660168332e+004,3.856070e-014
3.235936569296234e+004,3.856035e-014
3.311311214825861e+004,3.856000e-014
3.388441561391974e+004,3.855966e-014
3.467368504525264e+004,3.855933e-014
3.548133892335701e+004,3.855900e-014
3.630780547700958e+004,3.855867e-014
3.715352290971669e+004,3.855835e-014
3.801893963205554e+004,3.855804e-014
3.890451449942747e+004,3.855773e-014
3.981071705534912e+004,3.855742e-014
4.073802778041065e+004,3.855711e-014
4.168693834703291e+004,3.855681e-014
4.265795188015862e+004,3.855650e-014
4.365158322401593e+004,3.855621e-014
4.466835921509563e+004,3.855591e-014
4.570881896148680e+004,3.855562e-014
4.677351412871909e+004,3.855532e-014
4.786300923226309e+004,3.855503e-014
4.897788193684386e+004,3.855474e-014
5.011872336272644e+004,3.855445e-014
5.128613839913568e+004,3.855417e-014
5.248074602497643e+004,3.855387e-014
5.370317963702443e+004,3.855359e-014
5.495408738576159e+004,3.855330e-014
5.623413251903402e+004,3.855301e-014
5.754399373371479e+004,3.855272e-014
5.888436553555797e+004,3.855243e-014
6.025595860743483e+004,3.855213e-014
6.165950018614724e+004,3.855184e-014
6.309573444801832e+004,3.855154e-014
6.456542290346453e+004,3.855124e-014
6.606934480075855e+004,3.855093e-014
6.760829753919710e+004,3.855062e-014
6.918309709189255e+004,3.855031e-014
7.079457843841266e+004,3.854999e-014
7.244359600749785e+004,3.854967e-014
7.413102413009056e+004,3.854934e-014
7.585775750291716e+004,3.854901e-014
7.762471166286792e+004,3.854867e-014
7.943282347242687e+004,3.854833e-014
8.128305161640862e+004,3.854797e-014
8.317637711026576e+004,3.854761e-014
8.511380382023628e+004,3.854724e-014
8.709635899560666e+004,3.854686e-014
8.912509381337311e+004,3.854647e-014
9.120108393558950e+004,3.854607e-014
9.332543007969759e+004,3.854566e-014
9.549925860214204e+004,3.854524e-014
9.772372209557948e+004,3.854480e-014
9.999999999999837e+004,3.854436e-014
1.023292992280737e+005,3.854390e-014
1.047128548050882e+005,3.854342e-014
1.071519305237589e+005,3.854293e-014
1.096478196143167e+005,3.854241e-014
1.122018454301945e+005,3.854189e-014
1.148153621496864e+005,3.854134e-014
1.174897554939510e+005,3.854078e-014
1.202264434617393e+005,3.854019e-014
1.230268770812361e+005,3.853959e-014
1.258925411794147e+005,3.853896e-014
1.288249551693113e+005,3.853830e-014
1.318256738556385e+005,3.853762e-014
1.348962882591631e+005,3.853692e-014
1.380384264602862e+005,3.853619e-014
1.412537544622731e+005,3.853543e-014
1.445439770745904e+005,3.853463e-014
1.479108388168183e+005,3.853381e-014
1.513561248436183e+005,3.853295e-014
1.548816618912456e+005,3.853205e-014
1.584893192461087e+005,3.853112e-014
1.621810097358903e+005,3.853014e-014
1.659586907437533e+005,3.852913e-014
1.698243652461716e+005,3.852807e-014
1.737800828749346e+005,3.852697e-014
1.778279410038893e+005,3.852582e-014
1.819700858609953e+005,3.852461e-014
1.862087136662836e+005,3.852336e-014
1.905460717963215e+005,3.852205e-014
1.949844599758012e+005,3.852068e-014
1.995262314968846e+005,3.851925e-014
2.041737944669495e+005,3.851776e-014
2.089296130854004e+005,3.851621e-014
2.137962089502196e+005,3.851457e-014
2.187761623949515e+005,3.851287e-014
2.238721138568301e+005,3.851110e-014
2.290867652767734e+005,3.850924e-014
2.344228815319882e+005,3.850730e-014
2.398832919019449e+005,3.850527e-014
2.454708915684988e+005,3.850314e-014
2.511886431509537e+005,3.850092e-014
2.570395782768819e+005,3.849860e-014
2.630267991895336e+005,3.849617e-014
2.691534803926869e+005,3.849363e-014
2.754228703338119e+005,3.849098e-014
2.818382931264405e+005,3.848820e-014
2.884031503126556e+005,3.848530e-014
2.951209226666334e+005,3.848226e-014
3.019951720401964e+005,3.847908e-014
3.090295432513537e+005,3.847575e-014
3.162277660168324e+005,3.847228e-014
3.235936569296226e+005,3.846863e-014
3.311311214825853e+005,3.846483e-014
3.388441561391967e+005,3.846084e-014
3.467368504525256e+005,3.845667e-014
3.548133892335693e+005,3.845231e-014
3.630780547700950e+005,3.844775e-014
3.715352290971660e+005,3.844297e-014
3.801893963205545e+005,3.843798e-014
3.890451449942738e+005,3.843275e-014
3.981071705534903e+005,3.842728e-014
4.073802778041056e+005,3.842156e-014
4.168693834703281e+005,3.841557e-014
4.265795188015852e+005,3.840930e-014
4.365158322401583e+005,3.840275e-014
4.466835921509552e+005,3.839589e-014
4.570881896148669e+005,3.838871e-014
4.677351412871899e+005,3.838120e-014
4.786300923226299e+005,3.837334e-014
4.897788193684375e+005,3.836512e-014
5.011872336272634e+005,3.835651e-014
5.128613839913558e+005,3.834751e-014
5.248074602497633e+005,3.833809e-014
5.370317963702432e+005,3.832824e-014
5.495408738576148e+005,3.831794e-014
5.623413251903391e+005,3.830716e-014
5.754399373371467e+005,3.829588e-014
5.888436553555785e+005,3.828408e-014
6.025595860743470e+005,3.827174e-014
6.165950018614712e+005,3.825883e-014
6.309573444801820e+005,3.824532e-014
6.456542290346441e+005,3.823120e-014
6.606934480075843e+005,3.821643e-014
6.760829753919698e+005,3.820098e-014
6.918309709189242e+005,3.818483e-014
7.079457843841253e+005,3.816793e-014
7.244359600749771e+005,3.815027e-014
7.413102413009043e+005,3.813180e-014
7.585775750291703e+005,3.811249e-014
7.762471166286779e+005,3.809230e-014
7.943282347242674e+005,3.807120e-014
8.128305161640848e+005,3.804914e-014
8.317637711026561e+005,3.802608e-014
8.511380382023612e+005,3.800198e-014
8.709635899560649e+005,3.797679e-014
8.912509381337294e+005,3.795047e-014
9.120108393558932e+005,3.792298e-014
9.332543007969741e+005,3.789425e-014
9.549925860214186e+005,3.786423e-014
9.772372209557928e+005,3.783288e-014
9.999999999999817e+005,3.780014e-014
1.023292992280735e+006,3.776594e-014
1.047128548050880e+006,3.773023e-014
1.071519305237587e+006,3.769295e-014
1.096478196143165e+006,3.765403e-014
1.122018454301943e+006,3.761341e-014
1.148153621496861e+006,3.757101e-014
1.174897554939508e+006,3.752677e-014
1.202264434617390e+006,3.748061e-014
1.230268770812359e+006,3.743246e-014
1.258925411794144e+006,3.738224e-014
1.288249551693110e+006,3.732986e-014
1.318256738556382e+006,3.727526e-014
1.348962882591628e+006,3.721834e-014
1.380384264602859e+006,3.715901e-014
1.412537544622727e+006,3.709719e-014
1.445439770745900e+006,3.703279e-014
1.479108388168179e+006,3.696571e-014
1.513561248436179e+006,3.689586e-014
1.548816618912452e+006,3.682314e-014
1.584893192461083e+006,3.674746e-014
1.621810097358899e+006,3.666870e-014
1.659586907437529e+006,3.658678e-014
1.698243652461712e+006,3.650158e-014
1.737800828749342e+006,3.641300e-014
1.778279410038889e+006,3.632093e-014
1.819700858609949e+006,3.622527e-014
1.862087136662832e+006,3.612591e-014
1.905460717963211e+006,3.602273e-014
1.949844599758008e+006,3.591564e-014
1.995262314968841e+006,3.580451e-014
2.041737944669490e+006,3.568925e-014
2.089296130853999e+006,3.556974e-014
2.137962089502191e+006,3.544588e-014
2.187761623949510e+006,3.531756e-014
2.238721138568296e+006,3.518467e-014
2.290867652767729e+006,3.504712e-014
2.344228815319877e+006,3.490480e-014
2.398832919019444e+006,3.475762e-014
2.454708915684983e+006,3.460547e-014
2.511886431509531e+006,3.444828e-014
2.570395782768813e+006,3.428596e-014
2.630267991895330e+006,3.411842e-014
2.691534803926863e+006,3.394560e-014
2.754228703338112e+006,3.376741e-014
2.818382931264398e+006,3.358380e-014
2.884031503126549e+006,3.339472e-014
2.951209226666328e+006,3.320011e-014
3.019951720401957e+006,3.299992e-014
3.090295432513529e+006,3.279414e-014
3.162277660168317e+006,3.258274e-014
3.235936569296219e+006,3.236569e-014
3.311311214825845e+006,3.214301e-014
3.388441561391958e+006,3.191469e-014
3.467368504525248e+006,3.168075e-014
3.548133892335684e+006,3.144121e-014
3.630780547700941e+006,3.119612e-014
3.715352290971651e+006,3.094553e-014
3.801893963205536e+006,3.068949e-014
3.890451449942728e+006,3.042808e-014
3.981071705534893e+006,3.016140e-014
4.073802778041046e+006,2.988952e-014
4.168693834703270e+006,2.961257e-014
4.265795188015841e+006,2.933066e-014
4.365158322401572e+006,2.904394e-014
4.466835921509542e+006,2.875253e-014
4.570881896148658e+006,2.845661e-014
4.677351412871888e+006,2.815632e-014
4.786300923226287e+006,2.785186e-014
4.897788193684363e+006,2.754341e-014
5.011872336272622e+006,2.723116e-014
5.128613839913545e+006,2.691531e-014
5.248074602497620e+006,2.659609e-014
5.370317963702418e+006,2.627370e-014
5.495408738576134e+006,2.594839e-014
5.623413251903377e+006,2.562037e-014
5.754399373371452e+006,2.528989e-014
5.888436553555770e+006,2.495718e-014
6.025595860743455e+006,2.462251e-014
6.165950018614695e+006,2.428610e-014
6.309573444801803e+006,2.394821e-014
6.456542290346422e+006,2.360910e-014
6.606934480075824e+006,2.326901e-014
6.760829753919679e+006,2.292819e-014
6.918309709189222e+006,2.258689e-014
7.079457843841233e+006,2.224536e-014
7.244359600749752e+006,2.190384e-014
7.413102413009022e+006,2.156257e-014
7.585775750291681e+006,2.122179e-014
7.762471166286756e+006,2.088172e-014
7.943282347242650e+006,2.054258e-014
8.128305161640823e+006,2.020461e-014
8.317637711026536e+006,1.986800e-014
8.511380382023586e+006,1.953297e-014
8.709635899560623e+006,1.919971e-014
8.912509381337266e+006,1.886841e-014
9.120108393558905e+006,1.853925e-014
9.332543007969713e+006,1.821240e-014
9.549925860214157e+006,1.788804e-014
9.772372209557900e+006,1.756632e-014
9.999999999999788e+006,1.724738e-014
1.023292992280732e+007,1.693136e-014
1.047128548050877e+007,1.661840e-014
1.071519305237583e+007,1.630861e-014
1.096478196143162e+007,1.600212e-014
1.122018454301939e+007,1.569902e-014
1.148153621496858e+007,1.539941e-014
1.174897554939504e+007,1.510338e-014
1.202264434617387e+007,1.481101e-014
1.230268770812355e+007,1.452237e-014
1.258925411794140e+007,1.423753e-014
1.288249551693106e+007,1.395654e-014
1.318256738556379e+007,1.367946e-014
1.348962882591625e+007,1.340632e-014
1.380384264602855e+007,1.313717e-014
1.412537544622724e+007,1.287203e-014
1.445439770745896e+007,1.261093e-014
1.479108388168175e+007,1.235389e-014
1.513561248436175e+007,1.210091e-014
1.548816618912448e+007,1.185201e-014
1.584893192461079e+007,1.160719e-014
1.621810097358895e+007,1.136645e-014
1.659586907437524e+007,1.112978e-014
1.698243652461707e+007,1.089716e-014
1.737800828749337e+007,1.066859e-014
1.778279410038884e+007,1.044405e-014
1.819700858609944e+007,1.022351e-014
1.862087136662827e+007,1.000695e-014
1.905460717963205e+007,9.794334e-015
1.949844599758003e+007,9.585643e-015
1.995262314968836e+007,9.380836e-015
2.041737944669485e+007,9.179880e-015
