frequency,V(onoise)/gain
6.165950018614807e+000,2.035353e-009
6.309573444801917e+000,2.017001e-009
6.456542290346540e+000,1.998904e-009
6.606934480075944e+000,1.981059e-009
6.760829753919802e+000,1.963463e-009
6.918309709189348e+000,1.946114e-009
7.079457843841362e+000,1.929010e-009
7.244359600749883e+000,1.912147e-009
7.413102413009157e+000,1.895523e-009
7.585775750291819e+000,1.879135e-009
7.762471166286898e+000,1.862981e-009
7.943282347242795e+000,1.847058e-009
8.128305161640972e+000,1.831364e-009
8.317637711026690e+000,1.815897e-009
8.511380382023743e+000,1.800652e-009
8.709635899560784e+000,1.785630e-009
8.912509381337431e+000,1.770825e-009
9.120108393559072e+000,1.756238e-009
9.332543007969884e+000,1.741864e-009
9.549925860214332e+000,1.727703e-009
9.772372209558078e+000,1.713750e-009
9.999999999999970e+000,1.700004e-009
1.023292992280751e+001,1.686463e-009
1.047128548050896e+001,1.673125e-009
1.071519305237603e+001,1.659986e-009
1.096478196143182e+001,1.647046e-009
1.122018454301960e+001,1.634300e-009
1.148153621496879e+001,1.621749e-009
1.174897554939526e+001,1.609388e-009
1.202264434617409e+001,1.597216e-009
1.230268770812378e+001,1.585231e-009
1.258925411794163e+001,1.573431e-009
1.288249551693130e+001,1.561813e-009
1.318256738556403e+001,1.550376e-009
1.348962882591649e+001,1.539117e-009
1.380384264602880e+001,1.528033e-009
1.412537544622749e+001,1.517125e-009
1.445439770745922e+001,1.506387e-009
1.479108388168202e+001,1.495820e-009
1.513561248436203e+001,1.485421e-009
1.548816618912476e+001,1.475188e-009
1.584893192461108e+001,1.465119e-009
1.621810097358924e+001,1.455211e-009
1.659586907437554e+001,1.445463e-009
1.698243652461738e+001,1.435874e-009
1.737800828749369e+001,1.426440e-009
1.778279410038916e+001,1.417161e-009
1.819700858609976e+001,1.408033e-009
1.862087136662860e+001,1.399056e-009
1.905460717963240e+001,1.390227e-009
1.949844599758038e+001,1.381545e-009
1.995262314968872e+001,1.373007e-009
2.041737944669522e+001,1.364612e-009
2.089296130854032e+001,1.356358e-009
2.137962089502224e+001,1.348243e-009
2.187761623949544e+001,1.340265e-009
2.238721138568331e+001,1.332423e-009
2.290867652767764e+001,1.324714e-009
2.344228815319913e+001,1.317137e-009
2.398832919019481e+001,1.309690e-009
2.454708915685020e+001,1.302372e-009
2.511886431509570e+001,1.295180e-009
2.570395782768853e+001,1.288113e-009
2.630267991895371e+001,1.281170e-009
2.691534803926904e+001,1.274348e-009
2.754228703338155e+001,1.267645e-009
2.818382931264442e+001,1.261061e-009
2.884031503126593e+001,1.254594e-009
2.951209226666373e+001,1.248241e-009
3.019951720402003e+001,1.242001e-009
3.090295432513577e+001,1.235873e-009
3.162277660168365e+001,1.229855e-009
3.235936569296268e+001,1.223946e-009
3.311311214825896e+001,1.218143e-009
3.388441561392011e+001,1.212446e-009
3.467368504525301e+001,1.206852e-009
3.548133892335738e+001,1.201360e-009
3.630780547700997e+001,1.195969e-009
3.715352290971708e+001,1.190677e-009
3.801893963205595e+001,1.185483e-009
3.890451449942788e+001,1.180385e-009
3.981071705534954e+001,1.175382e-009
4.073802778041109e+001,1.170472e-009
4.168693834703335e+001,1.165653e-009
4.265795188015907e+001,1.160925e-009
4.365158322401639e+001,1.156286e-009
4.466835921509610e+001,1.151735e-009
4.570881896148729e+001,1.147269e-009
4.677351412871960e+001,1.142889e-009
4.786300923226361e+001,1.138591e-009
4.897788193684438e+001,1.134376e-009
5.011872336272698e+001,1.130242e-009
5.128613839913624e+001,1.126187e-009
5.248074602497700e+001,1.122211e-009
5.370317963702501e+001,1.118311e-009
5.495408738576219e+001,1.114487e-009
5.623413251903463e+001,1.110737e-009
5.754399373371541e+001,1.107060e-009
5.888436553555861e+001,1.103455e-009
6.025595860743547e+001,1.099920e-009
6.165950018614791e+001,1.096455e-009
6.309573444801901e+001,1.093059e-009
6.456542290346522e+001,1.089729e-009
6.606934480075925e+001,1.086466e-009
6.760829753919782e+001,1.083267e-009
6.918309709189329e+001,1.080132e-009
7.079457843841342e+001,1.077059e-009
7.244359600749863e+001,1.074048e-009
7.413102413009136e+001,1.071097e-009
7.585775750291798e+001,1.068206e-009
7.762471166286876e+001,1.065372e-009
7.943282347242773e+001,1.062596e-009
8.128305161640949e+001,1.059876e-009
8.317637711026666e+001,1.057212e-009
8.511380382023719e+001,1.054601e-009
8.709635899560760e+001,1.052044e-009
8.912509381337408e+001,1.049538e-009
9.120108393559049e+001,1.047084e-009
9.332543007969861e+001,1.044681e-009
9.549925860214309e+001,1.042326e-009
9.772372209558054e+001,1.040020e-009
9.999999999999946e+001,1.037762e-009
1.023292992280749e+002,1.035550e-009
1.047128548050894e+002,1.033384e-009
1.071519305237600e+002,1.031263e-009
1.096478196143179e+002,1.029186e-009
1.122018454301957e+002,1.027153e-009
1.148153621496876e+002,1.025161e-009
1.174897554939523e+002,1.023211e-009
1.202264434617406e+002,1.021302e-009
1.230268770812374e+002,1.019433e-009
1.258925411794160e+002,1.017604e-009
1.288249551693126e+002,1.015812e-009
1.318256738556399e+002,1.014059e-009
1.348962882591646e+002,1.012342e-009
1.380384264602876e+002,1.010662e-009
1.412537544622746e+002,1.009017e-009
1.445439770745919e+002,1.007407e-009
1.479108388168199e+002,1.005831e-009
1.513561248436199e+002,1.004289e-009
1.548816618912472e+002,1.002779e-009
1.584893192461104e+002,1.001302e-009
1.621810097358920e+002,9.998562e-010
1.659586907437551e+002,9.984413e-010
1.698243652461734e+002,9.970566e-010
1.737800828749365e+002,9.957016e-010
1.778279410038912e+002,9.943757e-010
1.819700858609972e+002,9.930781e-010
1.862087136662856e+002,9.918086e-010
1.905460717963235e+002,9.905663e-010
1.949844599758033e+002,9.893509e-010
1.995262314968867e+002,9.881616e-010
2.041737944669516e+002,9.869980e-010
2.089296130854026e+002,9.858596e-010
2.137962089502218e+002,9.847458e-010
2.187761623949538e+002,9.836562e-010
2.238721138568325e+002,9.825902e-010
2.290867652767758e+002,9.815473e-010
2.344228815319906e+002,9.805271e-010
2.398832919019474e+002,9.795292e-010
2.454708915685014e+002,9.785529e-010
2.511886431509563e+002,9.775979e-010
2.570395782768846e+002,9.766638e-010
2.630267991895364e+002,9.757500e-010
2.691534803926897e+002,9.748562e-010
2.754228703338148e+002,9.739820e-010
2.818382931264435e+002,9.731269e-010
2.884031503126586e+002,9.722906e-010
2.951209226666366e+002,9.714726e-010
3.019951720401995e+002,9.706726e-010
3.090295432513569e+002,9.698901e-010
3.162277660168357e+002,9.691249e-010
3.235936569296260e+002,9.683764e-010
3.311311214825888e+002,9.676444e-010
3.388441561392002e+002,9.669286e-010
3.467368504525292e+002,9.662286e-010
3.548133892335729e+002,9.655439e-010
3.630780547700987e+002,9.648744e-010
3.715352290971698e+002,9.642198e-010
3.801893963205584e+002,9.635795e-010
3.890451449942777e+002,9.629535e-010
3.981071705534943e+002,9.623412e-010
4.073802778041097e+002,9.617426e-010
4.168693834703323e+002,9.611572e-010
4.265795188015895e+002,9.605849e-010
4.365158322401627e+002,9.600251e-010
4.466835921509598e+002,9.594779e-010
4.570881896148716e+002,9.589427e-010
4.677351412871947e+002,9.584195e-010
4.786300923226348e+002,9.579079e-010
4.897788193684425e+002,9.574077e-010
5.011872336272685e+002,9.569186e-010
5.128613839913610e+002,9.564404e-010
5.248074602497686e+002,9.559728e-010
5.370317963702487e+002,9.555158e-010
5.495408738576203e+002,9.550688e-010
5.623413251903447e+002,9.546319e-010
5.754399373371524e+002,9.542047e-010
5.888436553555844e+002,9.537871e-010
6.025595860743530e+002,9.533787e-010
6.165950018614773e+002,9.529795e-010
6.309573444801882e+002,9.525893e-010
6.456542290346504e+002,9.522076e-010
6.606934480075908e+002,9.518346e-010
6.760829753919763e+002,9.514700e-010
6.918309709189309e+002,9.511135e-010
7.079457843841321e+002,9.507650e-010
7.244359600749841e+002,9.504243e-010
7.413102413009113e+002,9.500912e-010
7.585775750291774e+002,9.497657e-010
7.762471166286852e+002,9.494473e-010
7.943282347242747e+002,9.491362e-010
8.128305161640923e+002,9.488321e-010
8.317637711026639e+002,9.485347e-010
8.511380382023692e+002,9.482441e-010
8.709635899560732e+002,9.479599e-010
8.912509381337379e+002,9.476822e-010
9.120108393559019e+002,9.474107e-010
9.332543007969830e+002,9.471453e-010
9.549925860214277e+002,9.468859e-010
9.772372209558022e+002,9.466323e-010
9.999999999999913e+002,9.463844e-010
1.023292992280745e+003,9.461421e-010
1.047128548050890e+003,9.459052e-010
1.071519305237597e+003,9.456738e-010
1.096478196143175e+003,9.454474e-010
1.122018454301953e+003,9.452263e-010
1.148153621496872e+003,9.450100e-010
1.174897554939519e+003,9.447987e-010
1.202264434617402e+003,9.445921e-010
1.230268770812370e+003,9.443902e-010
1.258925411794156e+003,9.441928e-010
1.288249551693122e+003,9.439999e-010
1.318256738556395e+003,9.438114e-010
1.348962882591641e+003,9.436272e-010
1.380384264602872e+003,9.434471e-010
1.412537544622741e+003,9.432710e-010
1.445439770745914e+003,9.430989e-010
1.479108388168193e+003,9.429307e-010
1.513561248436194e+003,9.427663e-010
1.548816618912467e+003,9.426056e-010
1.584893192461099e+003,9.424484e-010
1.621810097358915e+003,9.422950e-010
1.659586907437545e+003,9.421449e-010
1.698243652461728e+003,9.419983e-010
1.737800828749359e+003,9.418549e-010
1.778279410038906e+003,9.417148e-010
1.819700858609966e+003,9.415780e-010
1.862087136662849e+003,9.414441e-010
1.905460717963229e+003,9.413132e-010
1.949844599758026e+003,9.411855e-010
1.995262314968860e+003,9.410605e-010
2.041737944669509e+003,9.409384e-010
2.089296130854019e+003,9.408190e-010
2.137962089502211e+003,9.407023e-010
2.187761623949531e+003,9.405884e-010
2.238721138568317e+003,9.404769e-010
2.290867652767750e+003,9.403680e-010
2.344228815319898e+003,9.402616e-010
2.398832919019466e+003,9.401575e-010
2.454708915685005e+003,9.400558e-010
2.511886431509554e+003,9.399565e-010
2.570395782768837e+003,9.398594e-010
2.630267991895355e+003,9.397646e-010
2.691534803926887e+003,9.396718e-010
2.754228703338138e+003,9.395811e-010
2.818382931264424e+003,9.394925e-010
2.884031503126575e+003,9.394059e-010
2.951209226666354e+003,9.393212e-010
3.019951720401984e+003,9.392385e-010
3.090295432513557e+003,9.391577e-010
3.162277660168345e+003,9.390787e-010
3.235936569296248e+003,9.390015e-010
3.311311214825875e+003,9.389260e-010
3.388441561391989e+003,9.388523e-010
3.467368504525279e+003,9.387802e-010
3.548133892335716e+003,9.387098e-010
3.630780547700973e+003,9.386409e-010
3.715352290971684e+003,9.385736e-010
3.801893963205570e+003,9.385078e-010
3.890451449942763e+003,9.384436e-010
3.981071705534928e+003,9.383808e-010
4.073802778041082e+003,9.383195e-010
4.168693834703307e+003,9.382595e-010
4.265795188015879e+003,9.382008e-010
4.365158322401610e+003,9.381435e-010
4.466835921509581e+003,9.380876e-010
4.570881896148699e+003,9.380328e-010
4.677351412871929e+003,9.379794e-010
4.786300923226329e+003,9.379271e-010
4.897788193684407e+003,9.378760e-010
5.011872336272666e+003,9.378261e-010
5.128613839913590e+003,9.377774e-010
5.248074602497666e+003,9.377297e-010
5.370317963702466e+003,9.376831e-010
5.495408738576182e+003,9.376375e-010
5.623413251903426e+003,9.375930e-010
5.754399373371502e+003,9.375495e-010
5.888436553555821e+003,9.375070e-010
6.025595860743507e+003,9.374655e-010
6.165950018614749e+003,9.374250e-010
6.309573444801858e+003,9.373853e-010
6.456542290346478e+003,9.373465e-010
6.606934480075881e+003,9.373086e-010
6.760829753919737e+003,9.372717e-010
6.918309709189281e+003,9.372354e-010
7.079457843841294e+003,9.372001e-010
7.244359600749813e+003,9.371655e-010
7.413102413009085e+003,9.371318e-010
7.585775750291745e+003,9.370987e-010
7.762471166286822e+003,9.370665e-010
7.943282347242717e+003,9.370349e-010
8.128305161640892e+003,9.370042e-010
8.317637711026608e+003,9.369740e-010
8.511380382023659e+003,9.369446e-010
8.709635899560699e+003,9.369159e-010
8.912509381337344e+003,9.368878e-010
9.120108393558983e+003,9.368603e-010
9.332543007969793e+003,9.368335e-010
9.549925860214238e+003,9.368073e-010
9.772372209557982e+003,9.367816e-010
9.999999999999871e+003,9.367566e-010
1.023292992280741e+004,9.367321e-010
1.047128548050886e+004,9.367082e-010
1.071519305237592e+004,9.366848e-010
1.096478196143171e+004,9.366620e-010
1.122018454301949e+004,9.366396e-010
1.148153621496868e+004,9.366178e-010
1.174897554939514e+004,9.365965e-010
1.202264434617397e+004,9.365756e-010
1.230268770812365e+004,9.365553e-010
1.258925411794151e+004,9.365354e-010
1.288249551693117e+004,9.365160e-010
1.318256738556390e+004,9.364969e-010
1.348962882591636e+004,9.364784e-010
1.380384264602867e+004,9.364602e-010
1.412537544622735e+004,9.364425e-010
1.445439770745908e+004,9.364252e-010
1.479108388168187e+004,9.364082e-010
1.513561248436188e+004,9.363917e-010
1.548816618912460e+004,9.363755e-010
1.584893192461092e+004,9.363597e-010
1.621810097358908e+004,9.363443e-010
1.659586907437538e+004,9.363291e-010
1.698243652461721e+004,9.363143e-010
1.737800828749351e+004,9.363000e-010
1.778279410038898e+004,9.362859e-010
1.819700858609958e+004,9.362721e-010
1.862087136662842e+004,9.362586e-010
1.905460717963221e+004,9.362455e-010
1.949844599758018e+004,9.362326e-010
1.995262314968852e+004,9.362201e-010
2.041737944669501e+004,9.362078e-010
2.089296130854010e+004,9.361958e-010
2.137962089502202e+004,9.361840e-010
2.187761623949522e+004,9.361726e-010
2.238721138568308e+004,9.361614e-010
2.290867652767740e+004,9.361504e-010
2.344228815319889e+004,9.361397e-010
2.398832919019456e+004,9.361294e-010
2.454708915684995e+004,9.361191e-010
2.511886431509544e+004,9.361091e-010
2.570395782768826e+004,9.360993e-010
2.630267991895344e+004,9.360899e-010
2.691534803926876e+004,9.360805e-010
2.754228703338126e+004,9.360715e-010
2.818382931264412e+004,9.360625e-010
2.884031503126564e+004,9.360538e-010
2.951209226666342e+004,9.360454e-010
3.019951720401971e+004,9.360371e-010
3.090295432513544e+004,9.360289e-010
3.162277660168332e+004,9.360210e-010
3.235936569296234e+004,9.360133e-010
3.311311214825861e+004,9.360057e-010
3.388441561391974e+004,9.359983e-010
3.467368504525264e+004,9.359911e-010
3.548133892335701e+004,9.359841e-010
3.630780547700958e+004,9.359771e-010
3.715352290971669e+004,9.359704e-010
3.801893963205554e+004,9.359638e-010
3.890451449942747e+004,9.359574e-010
3.981071705534912e+004,9.359511e-010
4.073802778041065e+004,9.359448e-010
4.168693834703291e+004,9.359388e-010
4.265795188015862e+004,9.359329e-010
4.365158322401593e+004,9.359272e-010
4.466835921509563e+004,9.359216e-010
4.570881896148680e+004,9.359161e-010
4.677351412871909e+004,9.359108e-010
4.786300923226309e+004,9.359055e-010
4.897788193684386e+004,9.359004e-010
5.011872336272644e+004,9.358954e-010
5.128613839913568e+004,9.358905e-010
5.248074602497643e+004,9.358858e-010
5.370317963702443e+004,9.358811e-010
5.495408738576159e+004,9.358765e-010
5.623413251903402e+004,9.358720e-010
5.754399373371479e+004,9.358677e-010
5.888436553555797e+004,9.358634e-010
6.025595860743483e+004,9.358593e-010
6.165950018614724e+004,9.358552e-010
6.309573444801832e+004,9.358513e-010
6.456542290346453e+004,9.358474e-010
6.606934480075855e+004,9.358435e-010
6.760829753919710e+004,9.358398e-010
6.918309709189255e+004,9.358362e-010
7.079457843841266e+004,9.358327e-010
7.244359600749785e+004,9.358292e-010
7.413102413009056e+004,9.358258e-010
7.585775750291716e+004,9.358225e-010
7.762471166286792e+004,9.358193e-010
7.943282347242687e+004,9.358161e-010
8.128305161640862e+004,9.358130e-010
8.317637711026576e+004,9.358100e-010
8.511380382023628e+004,9.358071e-010
8.709635899560666e+004,9.358042e-010
8.912509381337311e+004,9.358014e-010
9.120108393558950e+004,9.357986e-010
9.332543007969759e+004,9.357959e-010
9.549925860214204e+004,9.357932e-010
9.772372209557948e+004,9.357907e-010
9.999999999999837e+004,9.357882e-010
1.023292992280737e+005,9.357858e-010
1.047128548050882e+005,9.357834e-010
1.071519305237589e+005,9.357810e-010
1.096478196143167e+005,9.357787e-010
1.122018454301945e+005,9.357765e-010
1.148153621496864e+005,9.357743e-010
1.174897554939510e+005,9.357721e-010
1.202264434617393e+005,9.357700e-010
1.230268770812361e+005,9.357680e-010
1.258925411794147e+005,9.357659e-010
1.288249551693113e+005,9.357640e-010
1.318256738556385e+005,9.357622e-010
1.348962882591631e+005,9.357603e-010
1.380384264602862e+005,9.357585e-010
1.412537544622731e+005,9.357566e-010
1.445439770745904e+005,9.357549e-010
1.479108388168183e+005,9.357532e-010
1.513561248436183e+005,9.357515e-010
1.548816618912456e+005,9.357499e-010
1.584893192461087e+005,9.357483e-010
1.621810097358903e+005,9.357467e-010
1.659586907437533e+005,9.357453e-010
1.698243652461716e+005,9.357437e-010
1.737800828749346e+005,9.357423e-010
1.778279410038893e+005,9.357408e-010
1.819700858609953e+005,9.357395e-010
1.862087136662836e+005,9.357380e-010
1.905460717963215e+005,9.357367e-010
1.949844599758012e+005,9.357354e-010
1.995262314968846e+005,9.357341e-010
2.041737944669495e+005,9.357329e-010
2.089296130854004e+005,9.357317e-010
2.137962089502196e+005,9.357305e-010
2.187761623949515e+005,9.357292e-010
2.238721138568301e+005,9.357281e-010
2.290867652767734e+005,9.357270e-010
2.344228815319882e+005,9.357259e-010
2.398832919019449e+005,9.357248e-010
2.454708915684988e+005,9.357238e-010
2.511886431509537e+005,9.357227e-010
2.570395782768819e+005,9.357217e-010
2.630267991895336e+005,9.357208e-010
2.691534803926869e+005,9.357198e-010
2.754228703338119e+005,9.357188e-010
2.818382931264405e+005,9.357179e-010
2.884031503126556e+005,9.357170e-010
2.951209226666334e+005,9.357161e-010
3.019951720401964e+005,9.357152e-010
3.090295432513537e+005,9.357143e-010
3.162277660168324e+005,9.357135e-010
3.235936569296226e+005,9.357126e-010
3.311311214825853e+005,9.357118e-010
3.388441561391967e+005,9.357111e-010
3.467368504525256e+005,9.357103e-010
3.548133892335693e+005,9.357095e-010
3.630780547700950e+005,9.357087e-010
3.715352290971660e+005,9.357079e-010
3.801893963205545e+005,9.357072e-010
3.890451449942738e+005,9.357066e-010
3.981071705534903e+005,9.357058e-010
4.073802778041056e+005,9.357051e-010
4.168693834703281e+005,9.357044e-010
4.265795188015852e+005,9.357036e-010
4.365158322401583e+005,9.357030e-010
4.466835921509552e+005,9.357023e-010
4.570881896148669e+005,9.357016e-010
4.677351412871899e+005,9.357010e-010
4.786300923226299e+005,9.357003e-010
4.897788193684375e+005,9.356997e-010
5.011872336272634e+005,9.356991e-010
5.128613839913558e+005,9.356984e-010
5.248074602497633e+005,9.356978e-010
5.370317963702432e+005,9.356971e-010
5.495408738576148e+005,9.356965e-010
5.623413251903391e+005,9.356960e-010
5.754399373371467e+005,9.356953e-010
5.888436553555785e+005,9.356947e-010
6.025595860743470e+005,9.356940e-010
6.165950018614712e+005,9.356934e-010
6.309573444801820e+005,9.356928e-010
6.456542290346441e+005,9.356922e-010
6.606934480075843e+005,9.356916e-010
6.760829753919698e+005,9.356909e-010
6.918309709189242e+005,9.356903e-010
7.079457843841253e+005,9.356897e-010
7.244359600749771e+005,9.356890e-010
7.413102413009043e+005,9.356883e-010
7.585775750291703e+005,9.356878e-010
7.762471166286779e+005,9.356871e-010
7.943282347242674e+005,9.356864e-010
8.128305161640848e+005,9.356857e-010
8.317637711026561e+005,9.356850e-010
8.511380382023612e+005,9.356843e-010
8.709635899560649e+005,9.356837e-010
8.912509381337294e+005,9.356829e-010
9.120108393558932e+005,9.356822e-010
9.332543007969741e+005,9.356814e-010
9.549925860214186e+005,9.356806e-010
9.772372209557928e+005,9.356799e-010
9.999999999999817e+005,9.356790e-010
1.023292992280735e+006,9.356782e-010
1.047128548050880e+006,9.356773e-010
1.071519305237587e+006,9.356765e-010
1.096478196143165e+006,9.356756e-010
1.122018454301943e+006,9.356746e-010
1.148153621496861e+006,9.356737e-010
1.174897554939508e+006,9.356727e-010
1.202264434617390e+006,9.356718e-010
1.230268770812359e+006,9.356707e-010
1.258925411794144e+006,9.356695e-010
1.288249551693110e+006,9.356685e-010
1.318256738556382e+006,9.356673e-010
1.348962882591628e+006,9.356660e-010
1.380384264602859e+006,9.356648e-010
1.412537544622727e+006,9.356636e-010
1.445439770745900e+006,9.356622e-010
1.479108388168179e+006,9.356608e-010
1.513561248436179e+006,9.356594e-010
1.548816618912452e+006,9.356579e-010
1.584893192461083e+006,9.356563e-010
1.621810097358899e+006,9.356547e-010
1.659586907437529e+006,9.356529e-010
1.698243652461712e+006,9.356512e-010
1.737800828749342e+006,9.356494e-010
1.778279410038889e+006,9.356475e-010
1.819700858609949e+006,9.356455e-010
1.862087136662832e+006,9.356435e-010
1.905460717963211e+006,9.356412e-010
1.949844599758008e+006,9.356390e-010
1.995262314968841e+006,9.356367e-010
2.041737944669490e+006,9.356342e-010
2.089296130853999e+006,9.356316e-010
2.137962089502191e+006,9.356289e-010
2.187761623949510e+006,9.356262e-010
2.238721138568296e+006,9.356233e-010
2.290867652767729e+006,9.356202e-010
2.344228815319877e+006,9.356170e-010
2.398832919019444e+006,9.356137e-010
2.454708915684983e+006,9.356103e-010
2.511886431509531e+006,9.356066e-010
2.570395782768813e+006,9.356029e-010
2.630267991895330e+006,9.355989e-010
2.691534803926863e+006,9.355948e-010
2.754228703338112e+006,9.355904e-010
2.818382931264398e+006,9.355859e-010
2.884031503126549e+006,9.355812e-010
2.951209226666328e+006,9.355762e-010
3.019951720401957e+006,9.355711e-010
3.090295432513529e+006,9.355657e-010
3.162277660168317e+006,9.355599e-010
3.235936569296219e+006,9.355540e-010
3.311311214825845e+006,9.355478e-010
3.388441561391958e+006,9.355413e-010
3.467368504525248e+006,9.355346e-010
3.548133892335684e+006,9.355275e-010
3.630780547700941e+006,9.355200e-010
3.715352290971651e+006,9.355123e-010
3.801893963205536e+006,9.355041e-010
3.890451449942728e+006,9.354956e-010
3.981071705534893e+006,9.354867e-010
4.073802778041046e+006,9.354774e-010
4.168693834703270e+006,9.354676e-010
4.265795188015841e+006,9.354574e-010
4.365158322401572e+006,9.354467e-010
4.466835921509542e+006,9.354355e-010
4.570881896148658e+006,9.354238e-010
4.677351412871888e+006,9.354115e-010
4.786300923226287e+006,9.353987e-010
4.897788193684363e+006,9.353852e-010
5.011872336272622e+006,9.353712e-010
5.128613839913545e+006,9.353565e-010
5.248074602497620e+006,9.353410e-010
5.370317963702418e+006,9.353249e-010
5.495408738576134e+006,9.353080e-010
5.623413251903377e+006,9.352903e-010
5.754399373371452e+006,9.352718e-010
5.888436553555770e+006,9.352524e-010
6.025595860743455e+006,9.352322e-010
6.165950018614695e+006,9.352108e-010
6.309573444801803e+006,9.351886e-010
6.456542290346422e+006,9.351653e-010
6.606934480075824e+006,9.351409e-010
6.760829753919679e+006,9.351155e-010
6.918309709189222e+006,9.350887e-010
7.079457843841233e+006,9.350607e-010
7.244359600749752e+006,9.350314e-010
7.413102413009022e+006,9.350008e-010
7.585775750291681e+006,9.349687e-010
7.762471166286756e+006,9.349351e-010
7.943282347242650e+006,9.348999e-010
8.128305161640823e+006,9.348630e-010
8.317637711026536e+006,9.348245e-010
8.511380382023586e+006,9.347841e-010
8.709635899560623e+006,9.347419e-010
8.912509381337266e+006,9.346976e-010
9.120108393558905e+006,9.346513e-010
9.332543007969713e+006,9.346028e-010
9.549925860214157e+006,9.345521e-010
9.772372209557900e+006,9.344989e-010
9.999999999999788e+006,9.344432e-010
1.023292992280732e+007,9.343850e-010
1.047128548050877e+007,9.343240e-010
1.071519305237583e+007,9.342602e-010
1.096478196143162e+007,9.341934e-010
1.122018454301939e+007,9.341233e-010
1.148153621496858e+007,9.340500e-010
1.174897554939504e+007,9.339735e-010
1.202264434617387e+007,9.338932e-010
1.230268770812355e+007,9.338092e-010
1.258925411794140e+007,9.337213e-010
1.288249551693106e+007,9.336293e-010
1.318256738556379e+007,9.335329e-010
1.348962882591625e+007,9.334321e-010
1.380384264602855e+007,9.333265e-010
1.412537544622724e+007,9.332160e-010
1.445439770745896e+007,9.331003e-010
1.479108388168175e+007,9.329793e-010
1.513561248436175e+007,9.328527e-010
1.548816618912448e+007,9.327200e-010
1.584893192461079e+007,9.325813e-010
1.621810097358895e+007,9.324361e-010
1.659586907437524e+007,9.322841e-010
1.698243652461707e+007,9.321251e-010
1.737800828749337e+007,9.319587e-010
1.778279410038884e+007,9.317845e-010
1.819700858609944e+007,9.316022e-010
1.862087136662827e+007,9.314116e-010
1.905460717963205e+007,9.312121e-010
1.949844599758003e+007,9.310033e-010
1.995262314968836e+007,9.307848e-010
2.041737944669485e+007,9.305563e-010
2.089296130853994e+007,9.303172e-010
2.137962089502185e+007,9.300671e-010
2.187761623949505e+007,9.298055e-010
