Freq.	V(test)/I(Test)
2.18776162394955e-002	(2.64150619617360e-003dB,3.65657894504847e-008°)
2.23872113856834e-002	(2.64150619617360e-003dB,3.74175161018945e-008°)
2.29086765276777e-002	(2.64150619617360e-003dB,3.82890820156212e-008°)
2.34422881531992e-002	(2.64150619617360e-003dB,3.91809493074477e-008°)
2.39883291901949e-002	(2.64150619617360e-003dB,4.00935908572190e-008°)
2.45470891568503e-002	(2.64150619617360e-003dB,4.10274905595636e-008°)
2.51188643150958e-002	(2.64150619617360e-003dB,4.19831435804663e-008°)
2.57039578276886e-002	(2.64150619617360e-003dB,4.29610566198079e-008°)
2.63026799189538e-002	(2.64150619617360e-003dB,4.39617481800263e-008°)
2.69153480392691e-002	(2.64150619617360e-003dB,4.49857488410324e-008°)
2.75422870333816e-002	(2.64150619617360e-003dB,4.60336015415303e-008°)
2.81838293126445e-002	(2.64150619617360e-003dB,4.71058618668925e-008°)
2.88403150312660e-002	(2.64150619617360e-003dB,4.82030983437362e-008°)
2.95120922666638e-002	(2.64150619617360e-003dB,4.93258927413654e-008°)
3.01995172040201e-002	(2.64150619617360e-003dB,5.04748403802312e-008°)
3.09029543251359e-002	(2.64150619617360e-003dB,5.16505504475803e-008°)
3.16227766016838e-002	(2.64150619617360e-003dB,5.28536463204526e-008°)
3.23593656929628e-002	(2.64150619617360e-003dB,5.40847658962045e-008°)
3.31131121482591e-002	(2.64150619617360e-003dB,5.53445619307313e-008°)
3.38844156139202e-002	(2.64150619617360e-003dB,5.66337023845656e-008°)
3.46736850452531e-002	(2.64150619617360e-003dB,5.79528707770398e-008°)
3.54813389233575e-002	(2.64150619617360e-003dB,5.93027665486966e-008°)
3.63078054770101e-002	(2.64150619617360e-003dB,6.06841054321430e-008°)
3.71535229097172e-002	(2.64150619617360e-003dB,6.20976198315379e-008°)
3.80189396320561e-002	(2.64150619617360e-003dB,6.35440592109274e-008°)
3.89045144994280e-002	(2.64150619617360e-003dB,6.50241904916152e-008°)
3.98107170553497e-002	(2.64150619617360e-003dB,6.65387984587989e-008°)
4.07380277804112e-002	(2.64150619617360e-003dB,6.80886861776702e-008°)
4.16869383470335e-002	(2.64150619617360e-003dB,6.96746754192135e-008°)
4.26579518801592e-002	(2.64150619617360e-003dB,7.12976070959170e-008°)
4.36515832240165e-002	(2.64150619617360e-003dB,7.29583417076384e-008°)
4.46683592150962e-002	(2.64150619617360e-003dB,7.46577597978507e-008°)
4.57088189614874e-002	(2.64150619617360e-003dB,7.63967624205212e-008°)
4.67735141287197e-002	(2.64150619617360e-003dB,7.81762716178568e-008°)
4.78630092322637e-002	(2.64150619617360e-003dB,7.99972309091901e-008°)
4.89778819368445e-002	(2.64150619617360e-003dB,8.18606057912390e-008°)
5.01187233627271e-002	(2.64150619617360e-003dB,8.37673842500327e-008°)
5.12861383991364e-002	(2.64150619617360e-003dB,8.57185772847471e-008°)
5.24807460249771e-002	(2.64150619617360e-003dB,8.77152194437579e-008°)
5.37031796370252e-002	(2.64150619617360e-003dB,8.97583693731666e-008°)
5.49540873857623e-002	(2.64150619617360e-003dB,9.18491103781082e-008°)
5.62341325190348e-002	(2.64150619617360e-003dB,9.39885509971393e-008°)
5.75439937337156e-002	(2.64150619617360e-003dB,9.61778255899950e-008°)
5.88843655355588e-002	(2.64150619617360e-003dB,9.84180949390429e-008°)
6.02559586074356e-002	(2.64150619617360e-003dB,1.00710546864745e-007°)
6.16595001861481e-002	(2.64150619617360e-003dB,1.03056396855456e-007°)
6.30957344480192e-002	(2.64150619617360e-003dB,1.05456888711892e-007°)
6.45654229034654e-002	(2.64150619617360e-003dB,1.07913295206610e-007°)
6.60693448007594e-002	(2.64150619617360e-003dB,1.10426918758849e-007°)
6.76082975391980e-002	(2.64150619617360e-003dB,1.12999092125086e-007°)
6.91830970918935e-002	(2.64150619617360e-003dB,1.15631179105688e-007°)
7.07945784384136e-002	(2.64150619617360e-003dB,1.18324575268011e-007°)
7.24435960074988e-002	(2.64150619617360e-003dB,1.21080708686352e-007°)
7.41310241300916e-002	(2.64150619617360e-003dB,1.23901040699131e-007°)
7.58577575029182e-002	(2.64150619617360e-003dB,1.26787066683714e-007°)
7.76247116628690e-002	(2.64150619617360e-003dB,1.29740316849277e-007°)
7.94328234724279e-002	(2.64150619617360e-003dB,1.32762357048150e-007°)
8.12830516164097e-002	(2.64150619617360e-003dB,1.35854789606046e-007°)
8.31763771102669e-002	(2.64150619617360e-003dB,1.39019254171643e-007°)
8.51138038202374e-002	(2.64150619617360e-003dB,1.42257428585940e-007°)
8.70963589956078e-002	(2.64150619617360e-003dB,1.45571029771872e-007°)
8.91250938133743e-002	(2.64150619617360e-003dB,1.48961814644650e-007°)
9.12010839355907e-002	(2.64150619617360e-003dB,1.52431581043295e-007°)
9.33254300796988e-002	(2.64150619617360e-003dB,1.55982168683879e-007°)
9.54992586021433e-002	(2.64150619617360e-003dB,1.59615460134969e-007°)
9.77237220955808e-002	(2.64150619617360e-003dB,1.63333381815782e-007°)
9.99999999999997e-002	(2.64150619617360e-003dB,1.67137905017606e-007°)
1.02329299228075e-001	(2.64150619617360e-003dB,1.71031046949002e-007°)
1.04712854805090e-001	(2.64150619617360e-003dB,1.75014871805356e-007°)
1.07151930523760e-001	(2.64150619617360e-003dB,1.79091491863335e-007°)
1.09647819614318e-001	(2.64150619617360e-003dB,1.83263068600855e-007°)
1.12201845430196e-001	(2.64150619617360e-003dB,1.87531813843122e-007°)
1.14815362149688e-001	(2.64150619617360e-003dB,1.91899990935366e-007°)
1.17489755493953e-001	(2.64150619617360e-003dB,1.96369915942898e-007°)
1.20226443461741e-001	(2.64150619617360e-003dB,2.00943958879130e-007°)
1.23026877081238e-001	(2.64150619617360e-003dB,2.05624544962166e-007°)
1.25892541179416e-001	(2.64150619617360e-003dB,2.10414155900703e-007°)
1.28824955169313e-001	(2.64150619617360e-003dB,2.15315331209860e-007°)
1.31825673855640e-001	(2.64150619617360e-003dB,2.20330669557656e-007°)
1.34896288259165e-001	(2.64150619617360e-003dB,2.25462830142877e-007°)
1.38038426460288e-001	(2.64150619617360e-003dB,2.30714534104993e-007°)
1.41253754462275e-001	(2.64150619617360e-003dB,2.36088565966958e-007°)
1.44543977074592e-001	(2.64150619617360e-003dB,2.41587775111600e-007°)
1.47910838816820e-001	(2.64150619617360e-003dB,2.47215077292397e-007°)
1.51356124843620e-001	(2.64150619617360e-003dB,2.52973456179456e-007°)
1.54881661891248e-001	(2.64150619617360e-003dB,2.58865964941478e-007°)
1.58489319246111e-001	(2.64150619617360e-003dB,2.64895727864611e-007°)
1.62181009735892e-001	(2.64150619617360e-003dB,2.71065942008965e-007°)
1.65958690743755e-001	(2.64150619617360e-003dB,2.77379878903756e-007°)
1.69824365246174e-001	(2.64150619617360e-003dB,2.83840886281896e-007°)
1.73780082874937e-001	(2.64150619617360e-003dB,2.90452389855022e-007°)
1.77827941003892e-001	(2.64150619617360e-003dB,2.97217895129842e-007°)
1.81970085860998e-001	(2.64150619617360e-003dB,3.04140989266804e-007°)
1.86208713666286e-001	(2.64150619617360e-003dB,3.11225342982057e-007°)
1.90546071796324e-001	(2.64150619617360e-003dB,3.18474712493708e-007°)
1.94984459975804e-001	(2.64150619617360e-003dB,3.25892941513441e-007°)
1.99526231496887e-001	(2.64150619617360e-003dB,3.33483963284469e-007°)
2.04173794466952e-001	(2.64150619617360e-003dB,3.41251802667006e-007°)
2.08929613085403e-001	(2.64150619617360e-003dB,3.49200578272320e-007°)
2.13796208950222e-001	(2.64150619617360e-003dB,3.57334504646451e-007°)
2.18776162394954e-001	(2.64150619617360e-003dB,3.65657894504826e-007°)
2.23872113856833e-001	(2.64150619617360e-003dB,3.74175161018922e-007°)
2.29086765276776e-001	(2.64150619617360e-003dB,3.82890820156187e-007°)
2.34422881531991e-001	(2.64150619617360e-003dB,3.91809493074457e-007°)
2.39883291901948e-001	(2.64150619617360e-003dB,4.00935908572164e-007°)
2.45470891568502e-001	(2.64150619617360e-003dB,4.10274905595611e-007°)
2.51188643150957e-001	(2.64150619617360e-003dB,4.19831435804636e-007°)
2.57039578276885e-001	(2.64150619617360e-003dB,4.29610566198047e-007°)
2.63026799189537e-001	(2.64150619617360e-003dB,4.39617481800230e-007°)
2.69153480392690e-001	(2.64150619617360e-003dB,4.49857488410286e-007°)
2.75422870333815e-001	(2.64150619617360e-003dB,4.60336015415265e-007°)
2.81838293126444e-001	(2.64150619617360e-003dB,4.71058618668885e-007°)
2.88403150312659e-001	(2.64150619617360e-003dB,4.82030983437317e-007°)
2.95120922666637e-001	(2.64150619617360e-003dB,4.93258927413604e-007°)
3.01995172040200e-001	(2.64150619617360e-003dB,5.04748403802264e-007°)
3.09029543251358e-001	(2.64150619617360e-003dB,5.16505504475748e-007°)
3.16227766016837e-001	(2.64150619617360e-003dB,5.28536463204465e-007°)
3.23593656929627e-001	(2.64150619617360e-003dB,5.40847658961984e-007°)
3.31131121482590e-001	(2.64150619617360e-003dB,5.53445619307245e-007°)
3.38844156139201e-001	(2.64150619617360e-003dB,5.66337023845585e-007°)
3.46736850452530e-001	(2.64150619617360e-003dB,5.79528707770315e-007°)
3.54813389233574e-001	(2.64150619617360e-003dB,5.93027665486884e-007°)
3.63078054770100e-001	(2.64150619617553e-003dB,6.06841054321343e-007°)
3.71535229097171e-001	(2.64150619617553e-003dB,6.20976198315282e-007°)
3.80189396320559e-001	(2.64150619617553e-003dB,6.35440592109171e-007°)
3.89045144994279e-001	(2.64150619617553e-003dB,6.50241904916048e-007°)
3.98107170553495e-001	(2.64150619617553e-003dB,6.65387984587869e-007°)
4.07380277804111e-001	(2.64150619617553e-003dB,6.80886861776578e-007°)
4.16869383470333e-001	(2.64150619617553e-003dB,6.96746754191998e-007°)
4.26579518801591e-001	(2.64150619617553e-003dB,7.12976070959028e-007°)
4.36515832240164e-001	(2.64150619617553e-003dB,7.29583417076235e-007°)
4.46683592150961e-001	(2.64150619617360e-003dB,7.46577597978353e-007°)
4.57088189614873e-001	(2.64150619617360e-003dB,7.63967624205036e-007°)
4.67735141287196e-001	(2.64150619617360e-003dB,7.81762716178386e-007°)
4.78630092322636e-001	(2.64150619617360e-003dB,7.99972309091696e-007°)
4.89778819368444e-001	(2.64150619617360e-003dB,8.18606057912175e-007°)
5.01187233627270e-001	(2.64150619617360e-003dB,8.37673842500091e-007°)
5.12861383991362e-001	(2.64150619617360e-003dB,8.57185772847226e-007°)
5.24807460249770e-001	(2.64150619617360e-003dB,8.77152194437317e-007°)
5.37031796370250e-001	(2.64150619617360e-003dB,8.97583693731377e-007°)
5.49540873857622e-001	(2.64150619617360e-003dB,9.18491103780786e-007°)
5.62341325190346e-001	(2.64150619617360e-003dB,9.39885509971072e-007°)
5.75439937337154e-001	(2.64150619617360e-003dB,9.61778255899614e-007°)
5.88843655355586e-001	(2.64150619617360e-003dB,9.84180949390058e-007°)
6.02559586074355e-001	(2.64150619617360e-003dB,1.00710546864704e-006°)
6.16595001861479e-001	(2.64150619617360e-003dB,1.03056396855412e-006°)
6.30957344480190e-001	(2.64150619617360e-003dB,1.05456888711846e-006°)
6.45654229034652e-001	(2.64150619617360e-003dB,1.07913295206562e-006°)
6.60693448007592e-001	(2.64150619617360e-003dB,1.10426918758796e-006°)
6.76082975391978e-001	(2.64150619617167e-003dB,1.12999092125030e-006°)
6.91830970918933e-001	(2.64150619617167e-003dB,1.15631179105627e-006°)
7.07945784384134e-001	(2.64150619617167e-003dB,1.18324575267947e-006°)
7.24435960074986e-001	(2.64150619617167e-003dB,1.21080708686284e-006°)
7.41310241300913e-001	(2.64150619617167e-003dB,1.23901040699058e-006°)
7.58577575029179e-001	(2.64150619617167e-003dB,1.26787066683635e-006°)
7.76247116628687e-001	(2.64150619617167e-003dB,1.29740316849193e-006°)
7.94328234724277e-001	(2.64150619617167e-003dB,1.32762357048058e-006°)
8.12830516164095e-001	(2.64150619617360e-003dB,1.35854789605949e-006°)
8.31763771102666e-001	(2.64150619617360e-003dB,1.39019254171540e-006°)
8.51138038202372e-001	(2.64150619617167e-003dB,1.42257428585828e-006°)
8.70963589956076e-001	(2.64150619617167e-003dB,1.45571029771751e-006°)
8.91250938133740e-001	(2.64150619617167e-003dB,1.48961814644522e-006°)
9.12010839355904e-001	(2.64150619617167e-003dB,1.52431581043158e-006°)
9.33254300796986e-001	(2.64150619617167e-003dB,1.55982168683731e-006°)
9.54992586021430e-001	(2.64150619617167e-003dB,1.59615460134811e-006°)
9.77237220955805e-001	(2.64150619617167e-003dB,1.63333381815613e-006°)
9.99999999999994e-001	(2.64150619616974e-003dB,1.67137905017423e-006°)
1.02329299228075e+000	(2.64150619616974e-003dB,1.71031046948807e-006°)
1.04712854805089e+000	(2.64150619616974e-003dB,1.75014871805146e-006°)
1.07151930523760e+000	(2.64150619616974e-003dB,1.79091491863110e-006°)
1.09647819614318e+000	(2.64150619617167e-003dB,1.83263068600616e-006°)
1.12201845430196e+000	(2.64150619616974e-003dB,1.87531813842867e-006°)
1.14815362149688e+000	(2.64150619616974e-003dB,1.91899990935091e-006°)
1.17489755493952e+000	(2.64150619616974e-003dB,1.96369915942604e-006°)
1.20226443461741e+000	(2.64150619616974e-003dB,2.00943958878816e-006°)
1.23026877081237e+000	(2.64150619616781e-003dB,2.05624544961828e-006°)
1.25892541179416e+000	(2.64150619616781e-003dB,2.10414155900341e-006°)
1.28824955169313e+000	(2.64150619616781e-003dB,2.15315331209472e-006°)
1.31825673855640e+000	(2.64150619616974e-003dB,2.20330669557244e-006°)
1.34896288259165e+000	(2.64150619616781e-003dB,2.25462830142432e-006°)
1.38038426460288e+000	(2.64150619616781e-003dB,2.30714534104518e-006°)
1.41253754462275e+000	(2.64150619616781e-003dB,2.36088565966447e-006°)
1.44543977074592e+000	(2.64150619616588e-003dB,2.41587775111054e-006°)
1.47910838816820e+000	(2.64150619616588e-003dB,2.47215077291814e-006°)
1.51356124843620e+000	(2.64150619616588e-003dB,2.52973456178829e-006°)
1.54881661891247e+000	(2.64150619616588e-003dB,2.58865964940806e-006°)
1.58489319246110e+000	(2.64150619616588e-003dB,2.64895727863889e-006°)
1.62181009735892e+000	(2.64150619616396e-003dB,2.71065942008195e-006°)
1.65958690743755e+000	(2.64150619616588e-003dB,2.77379878902927e-006°)
1.69824365246173e+000	(2.64150619628735e-003dB,2.83840886281016e-006°)
1.73780082874936e+000	(2.64150619628735e-003dB,2.90452389854078e-006°)
1.77827941003891e+000	(2.64150619628542e-003dB,2.97217895128830e-006°)
1.81970085860997e+000	(2.64150619628735e-003dB,3.04140989265716e-006°)
1.86208713666286e+000	(2.64150619628542e-003dB,3.11225342980892e-006°)
1.90546071796323e+000	(2.64150619628350e-003dB,3.18474712492463e-006°)
1.94984459975803e+000	(2.64150619628542e-003dB,3.25892941512107e-006°)
1.99526231496887e+000	(2.64150619628350e-003dB,3.33483963283035e-006°)
2.04173794466952e+000	(2.64150619628157e-003dB,3.41251802665472e-006°)
2.08929613085403e+000	(2.64150619628350e-003dB,3.49200578270675e-006°)
2.13796208950222e+000	(2.64150619628157e-003dB,3.57334504644689e-006°)
2.18776162394954e+000	(2.64150619627964e-003dB,3.65657894502941e-006°)
2.23872113856832e+000	(2.64150619627964e-003dB,3.74175161016901e-006°)
2.29086765276776e+000	(2.64150619627771e-003dB,3.82890820154020e-006°)
2.34422881531990e+000	(2.64150619627771e-003dB,3.91809493072131e-006°)
2.39883291901947e+000	(2.64150619627578e-003dB,4.00935908569676e-006°)
2.45470891568501e+000	(2.64150619627578e-003dB,4.10274905592944e-006°)
2.51188643150956e+000	(2.64150619627386e-003dB,4.19831435801778e-006°)
2.57039578276884e+000	(2.64150619627386e-003dB,4.29610566194986e-006°)
2.63026799189536e+000	(2.64150619627386e-003dB,4.39617481796947e-006°)
2.69153480392690e+000	(2.64150619627000e-003dB,4.49857488406770e-006°)
2.75422870333815e+000	(2.64150619627000e-003dB,4.60336015411494e-006°)
2.81838293126443e+000	(2.64150619639147e-003dB,4.71058618664849e-006°)
2.88403150312658e+000	(2.64150619638954e-003dB,4.82030983432998e-006°)
2.95120922666636e+000	(2.64150619638954e-003dB,4.93258927408974e-006°)
3.01995172040199e+000	(2.64150619638761e-003dB,5.04748403797299e-006°)
3.09029543251357e+000	(2.64150619638761e-003dB,5.16505504470433e-006°)
3.16227766016835e+000	(2.64150619638376e-003dB,5.28536463198770e-006°)
3.23593656929626e+000	(2.64150619638183e-003dB,5.40847658955876e-006°)
3.31131121482589e+000	(2.64150619637990e-003dB,5.53445619300701e-006°)
3.38844156139200e+000	(2.64150619637797e-003dB,5.66337023838565e-006°)
3.46736850452529e+000	(2.64150619649944e-003dB,5.79528707762807e-006°)
3.54813389233573e+000	(2.64150619649751e-003dB,5.93027665478840e-006°)
3.63078054770098e+000	(2.64150619649751e-003dB,6.06841054312717e-006°)
3.71535229097170e+000	(2.64150619649366e-003dB,6.20976198306048e-006°)
3.80189396320558e+000	(2.64150619649173e-003dB,6.35440592099270e-006°)
3.89045144994278e+000	(2.64150619648787e-003dB,6.50241904905434e-006°)
3.98107170553494e+000	(2.64150619648787e-003dB,6.65387984576501e-006°)
4.07380277804109e+000	(2.64150619648402e-003dB,6.80886861764393e-006°)
4.16869383470332e+000	(2.64150619648209e-003dB,6.96746754178941e-006°)
4.26579518801589e+000	(2.64150619647823e-003dB,7.12976070945032e-006°)
4.36515832240162e+000	(2.64150619659777e-003dB,7.29583417061248e-006°)
4.46683592150959e+000	(2.64150619659584e-003dB,7.46577597962290e-006°)
4.57088189614871e+000	(2.64150619659006e-003dB,7.63967624187827e-006°)
4.67735141287194e+000	(2.64150619658620e-003dB,7.81762716159936e-006°)
4.78630092322634e+000	(2.64150619670574e-003dB,7.99972309071940e-006°)
4.89778819368442e+000	(2.64150619670189e-003dB,8.18606057891009e-006°)
5.01187233627268e+000	(2.64150619669803e-003dB,8.37673842477402e-006°)
5.12861383991361e+000	(2.64150619669225e-003dB,8.57185772822916e-006°)
5.24807460249768e+000	(2.64150619669032e-003dB,8.77152194411264e-006°)
5.37031796370248e+000	(2.64150619668454e-003dB,8.97583693703457e-006°)
5.49540873857620e+000	(2.64150619668068e-003dB,9.18491103750862e-006°)
5.62341325190344e+000	(2.64150619667297e-003dB,9.39885509939012e-006°)
5.75439937337152e+000	(2.64150619666718e-003dB,9.61778255865244e-006°)
5.88843655355584e+000	(2.64150619666140e-003dB,9.84180949353235e-006°)
6.02559586074353e+000	(2.64150619677901e-003dB,1.00710546860760e-005°)
6.16595001861477e+000	(2.64150619689855e-003dB,1.03056396851188e-005°)
6.30957344480188e+000	(2.64150619689084e-003dB,1.05456888707319e-005°)
6.45654229034650e+000	(2.64150619688505e-003dB,1.07913295201710e-005°)
6.60693448007590e+000	(2.64150619687541e-003dB,1.10426918753596e-005°)
6.76082975391976e+000	(2.64150619686770e-003dB,1.12999092119458e-005°)
6.91830970918931e+000	(2.64150619686192e-003dB,1.15631179099656e-005°)
7.07945784384132e+000	(2.64150619685228e-003dB,1.18324575261548e-005°)
7.24435960074984e+000	(2.64150619696603e-003dB,1.21080708679429e-005°)
7.41310241300911e+000	(2.64150619695832e-003dB,1.23901040691711e-005°)
7.58577575029177e+000	(2.64150619694868e-003dB,1.26787066675762e-005°)
7.76247116628685e+000	(2.64150619706051e-003dB,1.29740316840758e-005°)
7.94328234724275e+000	(2.64150619705280e-003dB,1.32762357039021e-005°)
8.12830516164092e+000	(2.64150619716270e-003dB,1.35854789596266e-005°)
8.31763771102664e+000	(2.64150619715113e-003dB,1.39019254161162e-005°)
8.51138038202369e+000	(2.64150619714149e-003dB,1.42257428574709e-005°)
8.70963589956073e+000	(2.64150619712799e-003dB,1.45571029759836e-005°)
8.91250938133738e+000	(2.64150619711449e-003dB,1.48961814631753e-005°)
9.12010839355902e+000	(2.64150619734779e-003dB,1.52431581029479e-005°)
9.33254300796983e+000	(2.64150619733429e-003dB,1.55982168669073e-005°)
9.54992586021427e+000	(2.64150619744227e-003dB,1.59615460119104e-005°)
9.77237220955802e+000	(2.64150619755024e-003dB,1.63333381798783e-005°)
9.99999999999991e+000	(2.64150619753096e-003dB,1.67137904999391e-005°)
1.02329299228075e+001	(2.64150619751553e-003dB,1.71031046929483e-005°)
1.04712854805089e+001	(2.64150619774497e-003dB,1.75014871784443e-005°)
1.07151930523760e+001	(2.64150619772569e-003dB,1.79091491840924e-005°)
1.09647819614318e+001	(2.64150619770448e-003dB,1.83263068576842e-005°)
1.12201845430195e+001	(2.64150619780667e-003dB,1.87531813817391e-005°)
1.14815362149687e+001	(2.64150619791079e-003dB,1.91899990907795e-005°)
1.17489755493952e+001	(2.64150619800912e-003dB,1.96369915913360e-005°)
1.20226443461740e+001	(2.64150619798598e-003dB,2.00943958847475e-005°)
1.23026877081237e+001	(2.64150619796092e-003dB,2.05624544928243e-005°)
1.25892541179416e+001	(2.64150619818264e-003dB,2.10414155864357e-005°)
1.28824955169312e+001	(2.64150619815372e-003dB,2.15315331170909e-005°)
1.31825673855639e+001	(2.64150619837160e-003dB,2.20330669515925e-005°)
1.34896288259164e+001	(2.64150619858947e-003dB,2.25462830098168e-005°)
1.38038426460287e+001	(2.64150619855669e-003dB,2.30714534057080e-005°)
1.41253754462274e+001	(2.64150619864538e-003dB,2.36088565915615e-005°)
1.44543977074591e+001	(2.64150619873407e-003dB,2.41587775056586e-005°)
1.47910838816819e+001	(2.64150619882276e-003dB,2.47215077233449e-005°)
1.51356124843619e+001	(2.64150619903099e-003dB,2.52973456116292e-005°)
1.54881661891247e+001	(2.64150619911583e-003dB,2.58865964873798e-005°)
1.58489319246110e+001	(2.64150619919681e-003dB,2.64895727792086e-005°)
1.62181009735891e+001	(2.64150619940118e-003dB,2.71065941931258e-005°)
1.65958690743754e+001	(2.64150619960170e-003dB,2.77379878820491e-005°)
1.69824365246173e+001	(2.64150619967690e-003dB,2.83840886192675e-005°)
1.73780082874936e+001	(2.64150619987356e-003dB,2.90452389759419e-005°)
1.77827941003891e+001	(2.64150619994297e-003dB,2.97217895027398e-005°)
1.81970085860997e+001	(2.64150620013771e-003dB,3.04140989157034e-005°)
1.86208713666285e+001	(2.64150620045005e-003dB,3.11225342864440e-005°)
1.90546071796323e+001	(2.64150620051175e-003dB,3.18474712367679e-005°)
1.94984459975803e+001	(2.64150620069685e-003dB,3.25892941378397e-005°)
1.99526231496886e+001	(2.64150620087616e-003dB,3.33483963139759e-005°)
2.04173794466951e+001	(2.64150620117693e-003dB,3.41251802511954e-005°)
2.08929613085402e+001	(2.64150620147579e-003dB,3.49200578106182e-005°)
2.13796208950221e+001	(2.64150620164546e-003dB,3.57334504468426e-005°)
2.18776162394953e+001	(2.64150620181320e-003dB,3.65657894314070e-005°)
2.23872113856832e+001	(2.64150620210048e-003dB,3.74175160814525e-005°)
2.29086765276775e+001	(2.64150620238391e-003dB,3.82890819937171e-005°)
2.34422881531990e+001	(2.64150620266155e-003dB,3.91809492839774e-005°)
2.39883291901947e+001	(2.64150620293726e-003dB,4.00935908320692e-005°)
2.45470891568501e+001	(2.64150620345398e-003dB,4.10274905326167e-005°)
2.51188643150956e+001	(2.64150620371813e-003dB,4.19831435515919e-005°)
2.57039578276884e+001	(2.64150620398227e-003dB,4.29610565888676e-005°)
2.63026799189536e+001	(2.64150620435825e-003dB,4.39617481468733e-005°)
2.69153480392689e+001	(2.64150620473422e-003dB,4.49857488055079e-005°)
2.75422870333814e+001	(2.64150620497716e-003dB,4.60336015034642e-005°)
2.81838293126442e+001	(2.64150620558643e-003dB,4.71058618261051e-005°)
2.88403150312658e+001	(2.64150620581972e-003dB,4.82030983000306e-005°)
2.95120922666636e+001	(2.64150620641164e-003dB,4.93258926945345e-005°)
3.01995172040199e+001	(2.64150620687823e-003dB,5.04748403300517e-005°)
3.09029543251356e+001	(2.64150620746051e-003dB,5.16505503938124e-005°)
3.16227766016835e+001	(2.64150620791361e-003dB,5.28536462628385e-005°)
3.23593656929625e+001	(2.64150620847853e-003dB,5.40847658344700e-005°)
3.31131121482588e+001	(2.64150620903767e-003dB,5.53445618645814e-005°)
3.38844156139199e+001	(2.64150620958717e-003dB,5.66337023136840e-005°)
3.46736850452528e+001	(2.64150621025042e-003dB,5.79528707010896e-005°)
3.54813389233572e+001	(2.64150621102936e-003dB,5.93027664673158e-005°)
3.63078054770098e+001	(2.64150621167527e-003dB,6.06841053449408e-005°)
3.71535229097169e+001	(2.64150621243300e-003dB,6.20976197381000e-005°)
3.80189396320557e+001	(2.64150621318109e-003dB,6.35440591108065e-005°)
3.89045144994276e+001	(2.64150621391761e-003dB,6.50241903843333e-005°)
3.98107170553493e+001	(2.64150621464064e-003dB,6.65387983438432e-005°)
4.07380277804108e+001	(2.64150621572228e-003dB,6.80886860544951e-005°)
4.16869383470331e+001	(2.64150621654557e-003dB,6.96746752872273e-005°)
4.26579518801588e+001	(2.64150621747683e-003dB,7.12976069544919e-005°)
4.36515832240161e+001	(2.64150621851991e-003dB,7.29583415560995e-005°)
4.46683592150958e+001	(2.64150621954372e-003dB,7.46577596354735e-005°)
4.57088189614870e+001	(2.64150622055595e-003dB,7.63967622465293e-005°)
